"year","Wine_mhl","tm_fl_y1_c15","tm_fl_y1_b10","tm_fl_y1_a10","tm_fl_y0_b10","tm_fl_y0_a10","tm_bb_y0_a15","tm_bb_y0_a30","tm_sm_y1_c20","tm_sm_y0_a20","tm_sm_y0_b20","tm_hv_y1_c10","tm_hv_y1_b20","tn_hv_y0_a30","tm.days.less.15_fl_y1_c15","tm.days.less.15_fl_y1_b15","days_minTemp.less.0_bb_y1_c20","days.minTemp.less.0_bb_y1_a30","days.minTemp.less.0_fl_y1_a10","days.maxTemp.above.35_fl_y1_a10","days.maxTemp.above.35_fl_y1_a20","days.tempMax.above.35_sm_y1_b20","days.maxTemp.above.35_sm_y1_a20","rf_fl_y1_a10","rf_hv_y1_b10","rf_hv_y1_a10","days.rf.above.1mm_fl_y1_c15","days.rf.above.1mm_fl_y1_a20","days.rf.above.1mm_sm_y1_b20","days.rf.above.1mm_sm_y1_a20","days.rf.above.1mm_hv_y1_c10","days.rf.above.1mm_hv_y1_a10","iaf_bb_y1_c10","iaf_fl_y1_b10","iaf_fl_y1_b20","iaf_fl_y1_b30","iaf_fl_y1_a10","iaf_hv_y1_c10","iaf_fl_y0_b10","iaf_fl_y0_b20","iaf_fl_y0_b30","iaf_fl_y0_a10","swa_fl_y1_a15","swa_fl_y1_a30","swa_hv_y1_b20","swa_hv_y1_a20","swa_hv_y0_a15","swa_hv_y0_a20","sw.less.15wp_fl_y1_a10","sw.less.15wp_fl_y1_a20","sw.less.15wp_sm_y1_a10","sw.less.15wp_sm_y1_a20","sw.less.15wp_hv_y1_b20","sw.less.15wp_hv_y1_a20","sw.less.15wp_fl_y0_a10","sw.less.15wp_fl_y0_a20","sw.above.09fc_fl_y1_a10","sw.above.09fc_fl_y1_a20","sw.above.09fc_fl_y0_a10","sw.above.09fc_fl_y0_a20"
1942,1060.9,20.07,19.705,18.74,21,22.25,14.0833333333333,13.1483333333333,21.0857142857143,21.2925,21.755,20.0681818181818,20.92,19.1333333333333,3,8,0,0,0,0,0,1,0,35.8,24.1,27.7,5,8,1,7,4,5,0.1905381284705,2.19554948338269,2.03693970943432,1.85185950451589,2.43943637292372,2.5165,2.12023706474272,1.90560834714699,1.73867578389769,2.43109513797711,189.277201962456,186.239525095254,73.7700226412,117.672951189533,65.5315032807429,66.2953356011257,10,20,10,20,20,20,10,20,10,20,10,20
1943,3007.9,16.6066666666667,14.32,20.29,19.705,18.74,13.3166666666667,14.905,20.0547619047619,23.68,21.0825,21.2227272727273,22.95,18.4916666666667,7,7,0,0,0,2,2,2,2,22.8,0,55.2,5,4,1,6,2,6,0.0666790554064658,2.19962499941173,2.04190389106738,1.82374354657215,2.36303119253976,2.5165,2.19554948338269,2.03693970943432,1.85185950451589,2.43943637292372,120.495988176523,115.557665492519,62.5408841347214,88.685166024235,102.436120444786,117.672951189533,10,20,10,20,20,20,10,20,10,20,10,20
1944,3070.4,17.6766666666667,18.58,16.035,14.32,20.29,13.7033333333333,17.3733333333333,21.4166666666667,21.425,20.555,19.5681818181818,21.1975,18.1016666666667,2,1,0,0,0,0,1,1,4,10.6,0.2,65,1,1,4,1,2,6,0.246622100853602,2.24564452418837,2.02902047111355,1.71039033247395,2.4174603159578,2.5165,2.19962499941173,2.04190389106738,1.82374354657215,2.36303119253976,110.581688895162,105.545421870537,89.3348715014799,110.024803187179,84.0019019328579,88.685166024235,10,20,10,20,20,20,10,20,10,20,10,20
1945,2204.9,17.54,16.795,16.81,18.58,16.035,14.72,16.8283333333333,21.8238095238095,19.34,20.45,20.1,19.2475,19.5583333333333,2,6,0,0,0,0,0,2,2,74.5,14.8,0,7,12,4,5,2,0,0.160681992179806,2.22315545299146,2.11288878513713,1.91820279541739,2.40173112281378,2.5165,2.24564452418837,2.02902047111355,1.71039033247395,2.4174603159578,131.635385081112,128.853249287167,83.6410830155053,82.7568394480761,110.734313949785,110.024803187179,10,20,10,20,20,20,10,20,10,20,10,20
1946,1620.3,17.03,16.635,16.985,16.795,16.81,16.32,16.6666666666667,18.0714285714286,18.425,20.225,18.7045454545455,19.8925,19.9866666666667,3,7,0,0,0,0,0,2,0,0.8,26.8,30.8,4,2,4,10,4,5,0.21515899339745,2.26389145162606,2.14312722012816,2.02710350456907,2.40763382048915,0.915090909090909,2.22315545299146,2.11288878513713,1.91820279541739,2.40173112281378,218.703070887774,197.416612283737,102.071525738359,152.773536400701,85.3305222867461,82.7568394480761,10,20,10,20,20,20,10,20,10,20,10,20
1947,2360.9,17.9766666666667,17.505,17.635,16.635,16.985,14.9666666666667,13.3416666666667,21.8857142857143,21.77,19.46,20.3181818181818,21.92,15.9116666666667,1,2,0,0,0,0,2,0,0,15.9,14.4,45.6,5,9,1,2,0,2,0.04488598723974,2.16397657138294,1.96861985387814,1.80795177795159,2.37975072716771,2.5165,2.26389145162606,2.14312722012816,2.02710350456907,2.40763382048915,137.009961461369,130.487449177394,51.3190374441987,83.2322992715722,132.954001155694,152.773536400701,10,20,10,20,20,20,10,20,10,20,10,20
1948,1589.1,16.2633333333333,16.955,15.37,17.505,17.635,14.6433333333333,15.2983333333333,20.5928571428571,22.1425,21.8075,22.1272727272727,21.945,19.385,3,2,0,0,0,0,0,0,2,87.9,4.8,0,8,6,5,7,2,0,0.192304052975813,2.25964003600382,2.1123210560152,1.98882705582925,2.39186361857,2.5165,2.16397657138294,1.96861985387814,1.80795177795159,2.37975072716771,193.281853799129,183.989057883383,61.3185538582354,49.2445542667888,80.3923485774922,83.2322992715722,10,20,10,20,20,20,10,20,10,20,10,20
1949,2021.3,13.7833333333333,12.275,15.65,16.955,15.37,15.5233333333333,13.1316666666667,22.1071428571429,23.5875,20.8675,21.6818181818182,22.9625,21.745,11,15,0,0,0,0,0,4,9,3,0,64.5,1,5,4,2,1,5,0.033392516186634,2.1788667824231,2.13790052205538,2.07571227848893,2.3099839661333,2.5165,2.25964003600382,2.1123210560152,1.98882705582925,2.39186361857,94.7414022151453,95.1339459933539,30.7679814760102,81.9083261877371,50.8173387330433,49.2445542667888,10,20,10,20,20,20,10,20,10,20,10,20
1950,1827.4,18.2366666666667,17.13,18.625,12.275,15.65,13.3833333333333,17.0916666666667,21.447619047619,19.52,21,16.0045454545455,18.9125,19.0583333333333,1,8,0,0,0,0,0,1,1,52.2,12,24,7,12,1,8,2,2,0.0914661116707954,2.19015186175612,2.05774844502973,1.88946229386541,2.39841880688954,2.28772727272727,2.1788667824231,2.13790052205538,2.07571227848893,2.3099839661333,233.56980556552,227.170883497897,81.5109665405588,91.2757240520419,65.8804352481865,81.9083261877371,10,20,10,20,20,20,10,20,10,20,10,20
1951,1807.2,19.4966666666667,18.96,19.1,17.13,18.625,13.6766666666667,13.82,19.0142857142857,18.37,21.6825,11.6818181818182,16.4325,16.4233333333333,0,1,0,0,0,0,0,0,0,16,53.6,19.7,2,2,3,8,3,5,0.174414312868936,2.17916184085796,1.97428318936123,1.79399703320793,2.41626530308751,0,2.19015186175612,2.05774844502973,1.88946229386541,2.39841880688954,138.885840806293,128.924540939139,106.025774983676,172.090745552686,91.6628733541871,91.2757240520419,10,20,10,20,20,20,10,20,10,20,10,20
1952,1365.1,19.03,20.065,17.98,18.96,19.1,15.13,13.305,18.8095238095238,18.0975,19.015,16.6,15.0575,10.99,0,0,0,0,0,0,0,0,0,2.2,7.4,33.7,5,6,3,2,4,7,0.119832312697154,2.19288225413418,1.87792883471146,1.564099569874,2.3968180818176,0,2.17916184085796,1.97428318936123,1.79399703320793,2.41626530308751,170.868293200333,158.034455532234,68.0505101862663,126.128192867603,145.686880415516,172.090745552686,10,20,10,20,20,20,10,20,10,20,10,20
1953,2584.6,20.1633333333333,21.055,17.855,20.065,17.98,13.85,14.7866666666667,23.55,23.5775,21.1575,24.4181818181818,21.83,14.1083333333333,2,2,0,0,0,0,0,6,1,0,0,98.1,1,2,0,4,0,4,0.211122896177044,2.15760337320046,1.93395558230532,1.70435955551213,2.42490263067671,2.5165,2.19288225413418,1.87792883471146,1.564099569874,2.3968180818176,114.913144389284,109.841674425101,43.8636696344899,126.327202420284,105.16591336415,126.128192867603,10,20,10,20,20,20,10,20,10,20,10,20
