Ant_sup;pvalue;Kurt;Skew;Mean;Mode;Median;Stdev;Dist;Subgroup
0.225;0.01548374686488687;1.1820079774766805;1.5528624583403112;1266.4722222222224;494.2;855.5999999999999;902.9195018549913;Wine_mhl={ 494.2/1,589.0/1,688.2/1,708.7/1,729.5/1,759.6/1,780.6/1,807.1/1,848.3/1,862.9/1,868.9/1,886.1/1,1060.9/1,1589.1/1,1965.1/1,2645.0/1,3070.4/1,3442.9/1 };iaf_fl_y0_b30=[1.72|1.84)  &  iaf_hv_y1_c10=[0.915|2.52]
0.2;0.018258882950628857;-1.193322877037601;0.47042916918082844;2187.9500000000003;1611.0;2017.8;612.8430293857202;Wine_mhl={ 1365.1/1,1611.0/2,1620.3/1,1640.9/1,1749.3/1,1807.2/1,2014.3/1,2075.3/1,2250.2/1,2478.4/1,2605.0/1,2880.1/1,2989.8/1,3020.7/1,3288.6/1 };tm_sm_y1_c20=[16.5|20.2)  &  tm_sm_y0_a20=[15.4|19.1)
0.275;0.02049827936145626;-0.9163696735254425;0.5700276039430804;2039.4454545454544;1611.0;1770.2;604.4419431156333;Wine_mhl={ 1267.3/1,1365.1/1,1401.2/1,1440.2/1,1469.2/1,1574.0/1,1611.0/2,1640.9/1,1749.3/1,1752.2/1,1807.2/1,2075.3/1,2250.2/1,2419.4/1,2425.9/1,2478.4/1,2605.0/1,2735.6/1,2880.1/1,3020.7/1,3288.6/1 };iaf_hv_y1_c10=[0|0.915)  &  days.maxTemp.above.35_sm_y1_a20=[0|1)
0.2625;0.021283711687800234;-0.7652170068201452;0.9670954069344657;1109.1666666666667;589.0;893.7;497.703992683737;Wine_mhl={ 589.0/1,649.5/1,688.2/1,708.7/1,759.6/1,780.6/1,795.7/1,807.1/1,816.4/1,848.3/1,893.7/1,905.8/1,937.5/1,967.1/1,1060.9/1,1589.1/1,1705.4/1,1827.4/1,1927.4/1,2013.8/1,2021.3/1 };swa_hv_y0_a15=[25.5|82.2)  &  iaf_hv_y1_c10=[0.915|2.52]  &  swa_hv_y0_a20=[25.4|88.4)
0.2875;0.025523997088176688;-0.9233622300347095;0.8628953822270081;1108.8739130434783;589.0;893.7;499.25519455338423;Wine_mhl={ 589.0/1,591.3/1,649.5/1,688.2/1,708.7/1,759.6/1,780.6/1,795.7/1,807.1/1,816.4/1,848.3/1,893.7/1,905.8/1,937.5/1,967.1/1,1060.9/1,1589.1/1,1620.3/1,1705.4/1,1827.4/1,1927.4/1,2013.8/1,2021.3/1 };swa_hv_y0_a20=[25.4|88.4)  &  iaf_hv_y1_c10=[0.915|2.52]
0.2625;0.028232679242702896;-0.9727843284758504;0.4957125746098401;2066.6;1611.0;1807.2;605.4620830407135;Wine_mhl={ 1267.3/1,1365.1/1,1401.2/1,1440.2/1,1574.0/1,1611.0/2,1640.9/1,1749.3/1,1752.2/1,1807.2/1,2075.3/1,2250.2/1,2419.4/1,2425.9/1,2478.4/1,2605.0/1,2735.6/1,2880.1/1,3020.7/1,3288.6/1 };iaf_hv_y1_c10=[0|0.915)  &  days.maxTemp.above.35_sm_y1_a20=[0|1)  &  tm_sm_y0_a20=[15.4|19.1)
0.25;0.029841473010029346;-1.0054684259764204;0.42197441922884615;2097.92;1611.0;1817.3000000000002;603.4850921282584;Wine_mhl={ 1267.3/1,1365.1/1,1401.2/1,1574.0/1,1611.0/2,1640.9/1,1749.3/1,1752.2/1,1807.2/1,2075.3/1,2250.2/1,2419.4/1,2425.9/1,2478.4/1,2605.0/1,2735.6/1,2880.1/1,3020.7/1,3288.6/1 };iaf_hv_y1_c10=[0|0.915)  &  days.maxTemp.above.35_sm_y1_a20=[0|1)  &  tm_hv_y1_b20=[13.3|19.1)
0.25;0.029841473010029346;-0.8857010742318678;0.8804949435938084;1108.49;589.0;899.75;510.52695366753426;Wine_mhl={ 589.0/1,591.3/1,649.5/1,688.2/1,708.7/1,759.6/1,795.7/1,807.1/1,816.4/1,893.7/1,905.8/1,937.5/1,967.1/1,1060.9/1,1589.1/1,1620.3/1,1827.4/1,1927.4/1,2013.8/1,2021.3/1 };tn_hv_y0_a30=[18.1|21.7]  &  swa_hv_y0_a20=[25.4|88.4)  &  iaf_hv_y1_c10=[0.915|2.52]
0.2125;0.029860129574131894;-1.143012257183074;0.46185482326448707;2125.7529411764704;1611.0;2014.3;641.460673110253;Wine_mhl={ 1281.7/1,1365.1/1,1469.2/1,1611.0/2,1640.9/1,1749.3/1,1807.2/1,2014.3/1,2075.3/1,2250.2/1,2478.4/1,2605.0/1,2880.1/1,2989.8/1,3020.7/1,3288.6/1 };iaf_hv_y1_c10=[0|0.915)  &  tm_sm_y1_c20=[16.5|20.2)
0.225;0.03170851328758513;-0.6986657177241682;0.9992957829544109;1108.788888888889;589.0;899.75;510.0565745885899;Wine_mhl={ 589.0/1,649.5/1,688.2/1,708.7/1,759.6/1,795.7/1,807.1/1,816.4/1,893.7/1,905.8/1,937.5/1,967.1/1,1060.9/1,1589.1/1,1827.4/1,1927.4/1,2013.8/1,2021.3/1 };tn_hv_y0_a30=[18.1|21.7]  &  swa_hv_y0_a15=[25.5|82.2)  &  iaf_hv_y1_c10=[0.915|2.52]
