"year","Wine_mhl","tm_fl_y1_c15","tm_fl_y1_b10","tm_fl_y1_a10","tm_fl_y0_b10","tm_fl_y0_a10","tm_bb_y0_a15","tm_bb_y0_a30","tm_sm_y1_c20","tm_sm_y0_a20","tm_sm_y0_b20","tm_hv_y1_c10","tm_hv_y1_b20","tn_hv_y0_a30","tm.days.less.15_fl_y1_c15","tm.days.less.15_fl_y1_b15","days_minTemp.less.0_bb_y1_c20","days.minTemp.less.0_bb_y1_a30","days.minTemp.less.0_fl_y1_a10","days.maxTemp.above.35_fl_y1_a10","days.maxTemp.above.35_fl_y1_a20","days.tempMax.above.35_sm_y1_b20","days.maxTemp.above.35_sm_y1_a20","rf_fl_y1_a10","rf_hv_y1_b10","rf_hv_y0_a10","days.rf.above.1mm_fl_y1_c15","days.rf.above.1mm_fl_y1_a20","days.rf.above.1mm_sm_y1_b20","days.rf.above.1mm_sm_y1_a20","days.rf.above.1mm_hv_y1_c10","days.rf.above.1mm_hv_y0_a10","iaf_bb_y1_c10","iaf_fl_y1_b10","iaf_fl_y1_b20","iaf_fl_y1_b30","iaf_fl_y1_a10","iaf_hv_y1_c10","iaf_fl_y0_b10","iaf_fl_y0_b20","iaf_fl_y0_b30","iaf_fl_y0_a10","swa_fl_y1_a15","swa_fl_y1_a30","swa_hv_y1_b20","swa_hv_y0_a15","swa_hv_y0_a20","sw.less.15wp_fl_y1_a10","sw.less.15wp_fl_y1_a20","sw.less.15wp_sm_y1_a10","sw.less.15wp_sm_y1_a20","sw.less.15wp_hv_y1_b20","sw.less.15wp_hv_y1_a20","sw.less.15wp_fl_y0_a10","sw.less.15wp_fl_y0_a20","sw.above.09fc_fl_y1_a10","sw.above.09fc_fl_y1_a20","sw.above.09fc_fl_y0_a10","sw.above.09fc_fl_y0_a20"
"1942","1060.9","[19.1|23.9]","[18.9|22.3]","[17.5|19.3)","[19|22.3]","[19.5|25.6]","[13.7|16.8]","[11.2|13.5)","[20.2|21.5)","[19.1|21.4)","[21.5|24.9]","[19.6|24.4]","[19.1|21.5)","[18.1|21.7]","[0|3.4)","[4.67|15]","[0|1.53)","0","0","[0|1.26)","[0|1.14)","[0|1.91)","[0|2.37)","[20.7|121]","[5.53|37.2)","[38.4|228]","[2|5.67)","[6|15]","[0|2)","[5|10]","[4|9]","[4|10]","[0.158|0.373]","[2.16|2.21)","[1.94|2.04)","[1.85|2.08]","[2.41|2.47]","[1.29|2.52]","[2.05|2.16)","[1.75|1.94)","[1.72|1.84)","[2.41|2.47]","[143|234]","[140|227]","[61.5|97)","[25.5|82.2)","[25.4|88.4)","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1943","3007.9","[13.8|17.1)","[12.3|17.1)","[19.3|25.6]","[19|22.3]","[17.5|19.5)","[12|13.7)","[13.5|15)","[16.5|20.2)","[21.4|23.9]","[20.4|21.5)","[19.6|24.4]","[21.5|24.3]","[18.1|21.7]","[3.4|11]","[4.67|15]","[0|1.53)","0","0","[1.26|3]","[1.14|3]","[1.91|9]","[0|2.37)","[20.7|121]","[0|5.53)","[7.58|38.4)","[2|5.67)","[3|6)","[0|2)","[5|10]","[2|4)","[4|10]","[0|0.076)","[2.16|2.21)","[2.04|2.19]","[1.72|1.85)","[2.31|2.38)","[1.29|2.52]","[2.16|2.21)","[2.04|2.19]","[1.84|2.08]","[2.41|2.47]","[115|143)","[113|140)","[61.5|97)","[82.2|131)","[88.4|148)","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1944","3070.4","[17.1|19.1)","[17.1|18.9)","[12.6|17.5)","[12.3|17.1)","[19.5|25.6]","[12|13.7)","[15|17.4]","[20.2|21.5)","[21.4|23.9]","[20.4|21.5)","[16.7|19.6)","[19.1|21.5)","[18.1|21.7]","[0|3.4)","[1|4.67)","[0|1.53)","0","0","[0|1.26)","[0|1.14)","[0|1.91)","[2.37|9]","[3.03|20.7)","[0|5.53)","[38.4|228]","[0|2)","[0|3)","[3|12]","[0|2)","[2|4)","[4|10]","[0.158|0.373]","[2.21|2.32]","[1.94|2.04)","[1.35|1.72)","[2.41|2.47]","[1.29|2.52]","[2.16|2.21)","[2.04|2.19]","[1.72|1.84)","[2.31|2.38)","[81.4|115)","[77.5|113)","[61.5|97)","[82.2|131)","[88.4|148)","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1945","2204.9","[17.1|19.1)","[12.3|17.1)","[12.6|17.5)","[17.1|19)","[12.6|17.5)","[13.7|16.8]","[15|17.4]","[21.5|25.6]","[19.1|21.4)","[20.4|21.5)","[19.6|24.4]","[19.1|21.5)","[18.1|21.7]","[0|3.4)","[4.67|15]","[0|1.53)","0","0","[0|1.26)","[0|1.14)","[1.91|9]","[0|2.37)","[20.7|121]","[5.53|37.2)","[38.4|228]","[5.67|12]","[6|15]","[3|12]","[5|10]","[2|4)","[4|10]","[0.158|0.373]","[2.21|2.32]","[2.04|2.19]","[1.85|2.08]","[2.38|2.41)","[1.29|2.52]","[2.21|2.32]","[1.94|2.04)","[1.35|1.72)","[2.41|2.47]","[115|143)","[113|140)","[61.5|97)","[82.2|131)","[88.4|148)","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1946","1620.3","[13.8|17.1)","[12.3|17.1)","[12.6|17.5)","[12.3|17.1)","[12.6|17.5)","[13.7|16.8]","[15|17.4]","[16.5|20.2)","[15.4|19.1)","[16.9|20.4)","[16.7|19.6)","[19.1|21.5)","[18.1|21.7]","[0|3.4)","[4.67|15]","[0|1.53)","0","0","[0|1.26)","[0|1.14)","[1.91|9]","[0|2.37)","[0|3.03)","[5.53|37.2)","[0|7.58)","[2|5.67)","[0|3)","[3|12]","[5|10]","[4|9]","[0|2)","[0.158|0.373]","[2.21|2.32]","[2.04|2.19]","[1.85|2.08]","[2.38|2.41)","[0|1.29)","[2.21|2.32]","[2.04|2.19]","[1.84|2.08]","[2.38|2.41)","[143|234]","[140|227]","[97|276]","[82.2|131)","[25.4|88.4)","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1947","2360.9","[17.1|19.1)","[17.1|18.9)","[17.5|19.3)","[12.3|17.1)","[12.6|17.5)","[13.7|16.8]","[11.2|13.5)","[21.5|25.6]","[21.4|23.9]","[16.9|20.4)","[19.6|24.4]","[21.5|24.3]","[15.1|18.1)","[0|3.4)","[1|4.67)","[0|1.53)","0","0","[0|1.26)","[1.14|3]","[0|1.91)","[0|2.37)","[3.03|20.7)","[5.53|37.2)","[7.58|38.4)","[2|5.67)","[6|15]","[0|2)","[2|5)","[0|2)","[4|10]","[0|0.076)","[2.16|2.21)","[1.94|2.04)","[1.72|1.85)","[2.38|2.41)","[1.29|2.52]","[2.21|2.32]","[2.04|2.19]","[1.84|2.08]","[2.38|2.41)","[115|143)","[113|140)","[25.3|61.5)","[131|343]","[148|342]","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1948","1589.1","[13.8|17.1)","[12.3|17.1)","[12.6|17.5)","[17.1|19)","[17.5|19.5)","[13.7|16.8]","[15|17.4]","[20.2|21.5)","[21.4|23.9]","[21.5|24.9]","[19.6|24.4]","[21.5|24.3]","[18.1|21.7]","[0|3.4)","[1|4.67)","[0|1.53)","0","0","[0|1.26)","[0|1.14)","[0|1.91)","[0|2.37)","[20.7|121]","[0|5.53)","[38.4|228]","[5.67|12]","[6|15]","[3|12]","[5|10]","[2|4)","[2|4)","[0.158|0.373]","[2.21|2.32]","[2.04|2.19]","[1.85|2.08]","[2.38|2.41)","[1.29|2.52]","[2.16|2.21)","[1.94|2.04)","[1.72|1.84)","[2.38|2.41)","[143|234]","[140|227]","[25.3|61.5)","[25.5|82.2)","[25.4|88.4)","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1949","2021.3","[13.8|17.1)","[12.3|17.1)","[12.6|17.5)","[12.3|17.1)","[12.6|17.5)","[13.7|16.8]","[11.2|13.5)","[21.5|25.6]","[21.4|23.9]","[20.4|21.5)","[19.6|24.4]","[21.5|24.3]","[18.1|21.7]","[3.4|11]","[4.67|15]","[0|1.53)","0","0","[0|1.26)","[0|1.14)","[1.91|9]","[2.37|9]","[0|3.03)","[0|5.53)","[0|7.58)","[0|2)","[3|6)","[3|12]","[2|5)","[0|2)","[0|2)","[0|0.076)","[2.16|2.21)","[2.04|2.19]","[1.85|2.08]","[2.31|2.38)","[1.29|2.52]","[2.21|2.32]","[2.04|2.19]","[1.84|2.08]","[2.38|2.41)","[81.4|115)","[77.5|113)","[25.3|61.5)","[25.5|82.2)","[25.4|88.4)","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1950","1827.4","[17.1|19.1)","[12.3|17.1)","[17.5|19.3)","[12.3|17.1)","[12.6|17.5)","[12|13.7)","[15|17.4]","[20.2|21.5)","[19.1|21.4)","[20.4|21.5)","[10.4|16.7)","[13.3|19.1)","[18.1|21.7]","[0|3.4)","[4.67|15]","[0|1.53)","0","0","[0|1.26)","[0|1.14)","[0|1.91)","[0|2.37)","[20.7|121]","[5.53|37.2)","[38.4|228]","[5.67|12]","[6|15]","[0|2)","[5|10]","[2|4)","[4|10]","[0.076|0.158)","[2.16|2.21)","[2.04|2.19]","[1.85|2.08]","[2.38|2.41)","[1.29|2.52]","[2.16|2.21)","[2.04|2.19]","[1.84|2.08]","[2.31|2.38)","[143|234]","[140|227]","[61.5|97)","[25.5|82.2)","[25.4|88.4)","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1951","1807.2","[19.1|23.9]","[18.9|22.3]","[17.5|19.3)","[12.3|17.1)","[17.5|19.5)","[12|13.7)","[13.5|15)","[16.5|20.2)","[15.4|19.1)","[21.5|24.9]","[10.4|16.7)","[13.3|19.1)","[15.1|18.1)","[0|3.4)","[1|4.67)","[0|1.53)","0","0","[0|1.26)","[0|1.14)","[0|1.91)","[0|2.37)","[3.03|20.7)","[37.2|240]","[7.58|38.4)","[2|5.67)","[0|3)","[3|12]","[5|10]","[2|4)","[2|4)","[0.158|0.373]","[2.16|2.21)","[1.94|2.04)","[1.72|1.85)","[2.41|2.47]","[0|1.29)","[2.16|2.21)","[2.04|2.19]","[1.84|2.08]","[2.38|2.41)","[115|143)","[113|140)","[97|276]","[82.2|131)","[88.4|148)","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1952","1365.1","[17.1|19.1)","[18.9|22.3]","[17.5|19.3)","[17.1|19)","[17.5|19.5)","[13.7|16.8]","[11.2|13.5)","[16.5|20.2)","[15.4|19.1)","[16.9|20.4)","[10.4|16.7)","[13.3|19.1)","[10.1|15.1)","[0|3.4)","[0|1)","[0|1.53)","0","0","[0|1.26)","[0|1.14)","[0|1.91)","[0|2.37)","[0|3.03)","[5.53|37.2)","[7.58|38.4)","[2|5.67)","[6|15]","[3|12]","[2|5)","[4|9]","[4|10]","[0.076|0.158)","[2.16|2.21)","[1.75|1.94)","[1.35|1.72)","[2.38|2.41)","[0|1.29)","[2.16|2.21)","[1.94|2.04)","[1.72|1.84)","[2.41|2.47]","[143|234]","[140|227]","[61.5|97)","[131|343]","[148|342]","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
"1953","2584.6","[19.1|23.9]","[18.9|22.3]","[17.5|19.3)","[19|22.3]","[17.5|19.5)","[13.7|16.8]","[13.5|15)","[21.5|25.6]","[21.4|23.9]","[20.4|21.5)","[19.6|24.4]","[21.5|24.3]","[10.1|15.1)","[0|3.4)","[1|4.67)","[0|1.53)","0","0","[0|1.26)","[0|1.14)","[1.91|9]","[0|2.37)","[0|3.03)","[0|5.53)","[7.58|38.4)","[0|2)","[0|3)","[0|2)","[2|5)","[0|2)","[4|10]","[0.158|0.373]","[2.05|2.16)","[1.75|1.94)","[1.35|1.72)","[2.41|2.47]","[1.29|2.52]","[2.16|2.21)","[1.75|1.94)","[1.35|1.72)","[2.38|2.41)","[81.4|115)","[77.5|113)","[25.3|61.5)","[82.2|131)","[88.4|148)","10","20","10","20","20","20","10","20","10","[17.5|20]","10","[17.5|20]"
