"Year","Wine_mhl","DOY_BB","DOY_Fl","DOY_sM","DOY_Hv"
1941,"1294.8",100,170,232,265
1942,"1060.9000000000001",95,155,225,262
1943,"3007.9",77,129,198,248
1944,"3070.4",87,135,207,248
1945,"2204.9",86,132,213,254
1946,"1620.3",92,162,232,280
1947,"2360.9",92,147,219,256
1948,"1589.1",72,142,221,258
1949,"2021.3",76,140,211,248
1950,"1827.4",87,155,226,274
1951,"1807.2",103,166,238,293
1952,"1365.1",100,154,223,284
1953,"2584.6",89,149,220,252
1954,"2075.3000000000002",107,164,239,290
1955,"2259",86,142,218,254
1956,"2250.1999999999998",98,160,239,293
1957,"1652.7",84,157,232,272
1958,"1749.3",98,160,248,293
1959,"1842.2",85,153,222,264
1960,"2880.1",86,153,235,293
1961,"886.1",79,145,224,263
1962,"3442.9",98,161,236,280
1963,"2478.4",103,166,246,293
1964,"2645",96,157,226,268
1965,"3020.7",99,162,244,293
1966,"1846.1",76,152,230,273
1967,"2425.9",87,164,242,293
1968,"2419.4",99,164,239,293
1969,"1267.3",95,167,239,293
1970,"2989.8",104,159,241,290
1971,"1611",102,178,252,293
1972,"1611",109,185,266,293
1973,"2735.6",97,164,234,289
1974,"2605",99,163,239,293
1975,"1752.2",102,164,239,293
1976,"2483.9",96,161,224,280
1977,"1640.9",92,178,264,293
1978,"1574",100,176,256,293
1979,"3288.6",105,170,239,293
1980,"1440.2",91,157,241,286
1981,"1788.2",87,165,227,268
1982,"2076.1",84,149,233,276
1983,"1281.7",88,169,245,293
1984,"2014.3",102,169,242,293
1985,"2120.9",95,164,238,273
1986,"1469.2",105,164,237,281
1987,"1635.7",85,149,216,253
1988,"589",85,161,236,278
1989,"1965.1",83,150,213,248
1990,"2013.8",78,146,214,249
1991,"1927.4",98,151,221,256
1992,"1146.8",94,147,227,276
1993,"822",84,164,229,289
1994,"1401.2",87,161,232,283
1995,"1217.9000000000001",85,131,210,248
1996,"1705.4",90,156,216,261
1997,"494.2",74,116,209,248
1998,"591.29999999999995",70,145,220,252
1999,"1271",89,151,218,259
2000,"845.6",78,156,224,266
2001,"1359.6",80,150,221,257
2002,"795.7",81,151,225,265
2003,"838.9",86,146,216,248
2004,"986.6",81,153,215,256
2005,"942.2",94,153,214,248
2006,"937.5",98,153,216,248
2007,"708.7",79,145,227,266
2008,"780.6",74,152,225,272
2009,"862.9",85,155,228,268
2010,"905.8",92,145,210,248
2011,"807.1",85,131,206,248
2012,"649.5",90,155,233,274
2013,"787.3",90,157,224,257
2014,"688.2",78,138,223,267
2015,"868.9",98,150,220,266
2016,"729.5",84,154,214,248
2017,"967.1",87,140,207,248
2018,"759.6",100,154,221,254
2019,"816.4",88,150,226,262
2020,"848.3",74,139,202,248
2021,"893.7",86,146,219,256
2022,"nd",84,141,207,248
