Ant_sup;pvalue;Kurt;Skew;Mean;Mode;Median;Stdev;Dist;Subgroup
0.2125;0.0198492836428864;0.614059649890595;0.129327959859633;-337.503871032194;-1442.47370370363;-290.698469292067;568.769462814204;Wine_mhl={ -1442.47370370363/1,-1192.98328293478/1,-914.96295593055/1,-780.964590951688/1,-515.70758204401/1,-497.325105485166/1,-362.571366619763/1,-306.099637834/1,-290.698469292067/1,-281.545432489394/1,-248.922768401299/1,-244.772535161697/1,-160.100806375934/1,-121.327909048237/1,173.759708157545/1,632.909941397147/1,816.220689170227/1 };swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)
0.2125;0.0215710727911539;1.46630591450179;0.972475398980658;-267.623469636761;-1192.98328293478;-325.756180262474;551.504935324103;Wine_mhl={ -1192.98328293478/1,-793.749404594398/1,-780.287255039782/1,-661.53351617438/1,-633.134684716313/1,-515.70758204401/1,-367.809217065147/1,-343.153843178607/1,-325.756180262474/1,-281.545432489394/1,-248.922768401299/1,-240.019964838228/1,-207.336319737451/1,-46.6120206282185/1,465.969287388692/1,511.286810829848/1,1111.696390061/1 };tm_fl_y1_c15=[13.8|17.1)|tm_fl_y1_a10=[12.6|17.5)|sw.above.09fc_fl_y0_a20=[17.5|20]
0.275;0.0294187653508344;0.693707781549509;-0.40246452573345;-365.437913203724;-1442.47370370363;-265.234100445346;467.01515306319;Wine_mhl={ -1442.47370370363/1,-1192.98328293478/1,-914.96295593055/1,-793.749404594398/1,-780.287255039782/1,-633.134684716313/1,-542.48889006092/1,-497.325105485166/1,-362.571366619763/1,-306.099637834/1,-281.545432489394/1,-248.922768401299/1,-244.772535161697/1,-240.019964838228/1,-207.336319737451/1,-160.100806375934/1,-121.327909048237/1,40.4975586029284/1,59.0421847163882/1,59.461343178682/1,138.556904594473/1,632.909941397147/1 };swa_fl_y1_a15=[143|234]|days.maxTemp.above.35_sm_y1_a20=[0|2.37)
0.25;0.0298414730100293;1.10814236502174;-0.625038467320136;310.841939228825;-1442.47370370363;473.386226558882;711.723160022806;Wine_mhl={ -1442.47370370363/1,-914.96295593055/1,-362.571366619763/1,-222.441460384389/1,-130.567394514759/1,40.4975586029284/1,59.0421847163882/1,173.759708157545/1,448.831436943308/1,465.969287388692/1,480.803165729071/1,496.634240506379/1,511.286810829848/1,518.248960384464/1,577.762511720616/1,778.685642287914/1,816.220689170227/1,924.489614392919/1,1386.14779184253/1,1611.47606305677/1 };tm_bb_y0_a30=[11.2|13.5)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)
0.2375;0.0298725134253017;1.10898964239926;-0.0180571732989081;-292.429581266774;-1192.98328293478;-248.922768401299;400.745628964946;Wine_mhl={ -1192.98328293478/1,-793.749404594398/1,-780.287255039782/1,-633.134684716313/1,-515.70758204401/1,-367.809217065147/1,-343.153843178607/1,-290.698469292067/1,-281.545432489394/1,-248.922768401299/1,-240.019964838228/1,-231.480479371706/1,-214.592862165925/1,-207.336319737451/1,-130.567394514759/1,-101.926740506304/1,40.4975586029284/1,465.969287388692/1,511.286810829848/1 };tm_fl_y1_a10=[12.6|17.5)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|sw.above.09fc_fl_y0_a20=[17.5|20]
0.2625;0.0356412797550344;0.92463308684261;-0.35401359156925;-386.656858549293;-1442.47370370363;-290.698469292067;461.547710236827;Wine_mhl={ -1442.47370370363/1,-1192.98328293478/1,-887.14426394746/1,-780.964590951688/1,-780.287255039782/1,-661.53351617438/1,-515.70758204401/1,-497.325105485166/1,-367.809217065147/1,-302.278142287839/1,-290.698469292067/1,-240.019964838228/1,-231.480479371706/1,-207.336319737451/1,-144.291693623991/1,-121.327909048237/1,-101.926740506304/1,-79.060618846683/1,-46.6120206282185/1,138.556904594473/1,632.909941397147/1 };rf_fl_y1_a10=[20.7|121]|iaf_hv_y1_c10=[1.29|2.52]|days.maxTemp.above.35_fl_y1_a10=[0|1.26)
0.2625;0.0356412797550344;0.92463308684261;-0.35401359156925;-386.656858549293;-1442.47370370363;-290.698469292067;461.547710236827;Wine_mhl={ -1442.47370370363/1,-1192.98328293478/1,-887.14426394746/1,-780.964590951688/1,-780.287255039782/1,-661.53351617438/1,-515.70758204401/1,-497.325105485166/1,-367.809217065147/1,-302.278142287839/1,-290.698469292067/1,-240.019964838228/1,-231.480479371706/1,-207.336319737451/1,-144.291693623991/1,-121.327909048237/1,-101.926740506304/1,-79.060618846683/1,-46.6120206282185/1,138.556904594473/1,632.909941397147/1 };rf_fl_y1_a10=[20.7|121]|iaf_hv_y1_c10=[1.29|2.52]|days.maxTemp.above.35_fl_y1_a20=[0|1.14)
0.225;0.0357092820527481;1.29744396785599;0.630577961870921;-332.032166484303;-1192.98328293478;-382.292862165924;459.987272864806;Wine_mhl={ -1192.98328293478/1,-914.96295593055/1,-780.287255039782/1,-633.134684716313/1,-542.48889006092/1,-515.70758204401/1,-497.325105485166/1,-495.194030707858/1,-396.776507266702/1,-306.099637834/1,-281.545432489394/1,-248.922768401299/1,-207.336319737451/1,-130.567394514759/1,-51.6064135020763/1,-4.30524496014266/1,443.978866619839/1,778.685642287914/1 };iaf_fl_y0_b10=[2.16|2.21)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)
0.2375;0.0393699784344927;0.74963204390148;-0.385843055418437;-370.861172613275;-1442.47370370363;-281.545432489394;483.944635905635;Wine_mhl={ -1442.47370370363/1,-1192.98328293478/1,-914.96295593055/1,-780.287255039782/1,-633.134684716313/1,-542.48889006092/1,-497.325105485166/1,-362.571366619763/1,-306.099637834/1,-281.545432489394/1,-248.922768401299/1,-244.772535161697/1,-207.336319737451/1,-160.100806375934/1,-121.327909048237/1,59.0421847163882/1,59.461343178682/1,138.556904594473/1,632.909941397147/1 };swa_fl_y1_a15=[143|234]|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)
0.25;0.0396818795381144;-0.033710263484088;-0.00873354664788535;-245.495327179984;-1442.47370370363;-286.12195089073;591.215856978628;Wine_mhl={ -1442.47370370363/1,-1192.98328293478/1,-914.96295593055/1,-780.964590951688/1,-515.70758204401/1,-497.325105485166/1,-362.571366619763/1,-306.099637834/1,-302.278142287839/1,-290.698469292067/1,-281.545432489394/1,-248.922768401299/1,-244.772535161697/1,-160.100806375934/1,-121.327909048237/1,173.759708157545/1,518.248960384464/1,611.688445850986/1,632.909941397147/1,816.220689170227/1 };swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)
