"rule_rank","support_pct","n_years_approx","pvalue","mean_deviation","stdev","direction","n_conditions","sentences","features","condition_3","raw_subgroup"
1,28.1,25,0.00433,121.228,151.421,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Flowering (current year) is between 0 days and 3.33 days","days.rf.above.1mm_fl_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
1,28.1,25,0.00433,121.228,151.421,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Start of Maturity (current year) is between 0 days and 3.46 days","days.rf.above.1mm_sm_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
2,20.2,18,0.00843,-131.27,300.105,"below-trend",2,"Leaf Area Index (IAF) in the 10 days after Flowering (current year) is between 0.739 m²/m² and 0.878 m²/m²","iaf_fl_y1_a10",NA,"iaf_fl_y1_a10=[0.739|0.878)|swa_fl_y1_a30=[390|404]"
2,20.2,18,0.00843,-131.27,300.105,"below-trend",2,"Available soil water in the 30 days after Flowering (current year) is between 390 mm and 404 mm","swa_fl_y1_a30",NA,"iaf_fl_y1_a10=[0.739|0.878)|swa_fl_y1_a30=[390|404]"
3,25.8,23,0.00889,112.775,152.049,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Flowering (current year) is between 0 days and 3.33 days","days.rf.above.1mm_fl_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
3,25.8,23,0.00889,112.775,152.049,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Start of Maturity (current year) is between 0 days and 3.46 days","days.rf.above.1mm_sm_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
3,25.8,23,0.00889,112.775,152.049,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 0.643 days","days.maxTemp.above.35_fl_y1_a10",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
4,21.3,19,0.00951,192.38,213.435,"above-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 74.2 mm and 101 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[74.2|101)|days.rf.above.1mm_hv_y0_a10=[0|2.27)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
4,21.3,19,0.00951,192.38,213.435,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 10 days after Harvest (previous year) is between 0 days and 2.27 days","days.rf.above.1mm_hv_y0_a10",NA,"swa_hv_y1_b20=[74.2|101)|days.rf.above.1mm_hv_y0_a10=[0|2.27)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
4,21.3,19,0.00951,192.38,213.435,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Start of Maturity (current year) is between 0 days and 3.46 days","days.rf.above.1mm_sm_y1_a20",NA,"swa_hv_y1_b20=[74.2|101)|days.rf.above.1mm_hv_y0_a10=[0|2.27)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
5,24.7,22,0.011,114.571,160.981,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Flowering (current year) is between 0 days and 3.33 days","days.rf.above.1mm_fl_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.tempMax.above.35_sm_y1_b20=[0|3.66)"
5,24.7,22,0.011,114.571,160.981,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 3.66 days","days.tempMax.above.35_sm_y1_b20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.tempMax.above.35_sm_y1_b20=[0|3.66)"
6,21.3,19,0.0114,118.92,163.532,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Flowering (current year) is between 0 days and 3.33 days","days.rf.above.1mm_fl_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
6,21.3,19,0.0114,118.92,163.532,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 3.66 days","days.tempMax.above.35_sm_y1_b20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
6,21.3,19,0.0114,118.92,163.532,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Start of Maturity (current year) is between 0 days and 3.46 days","days.rf.above.1mm_sm_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
7,32.6,29,0.0134,-131.854,196.454,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 141 mm and 231 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[141|231]|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
7,32.6,29,0.0134,-131.854,196.454,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 0.643 days","days.maxTemp.above.35_fl_y1_a10",NA,"swa_hv_y1_b20=[141|231]|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
8,32.6,29,0.0134,-131.854,196.454,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 141 mm and 231 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[141|231]|days.maxTemp.above.35_fl_y1_a20=[0|1.29)"
8,32.6,29,0.0134,-131.854,196.454,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.29 days","days.maxTemp.above.35_fl_y1_a20",NA,"swa_hv_y1_b20=[141|231]|days.maxTemp.above.35_fl_y1_a20=[0|1.29)"
9,20.2,18,0.0156,136.756,201.966,"above-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 74.2 mm and 101 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[74.2|101)|days.rf.above.1mm_hv_y1_c10=[0|2.6)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
9,20.2,18,0.0156,136.756,201.966,"above-trend",2,"Wet days (daily rainfall above 1 mm) in a 10-day window centred on Harvest (current year) is between 0 days and 2.6 days","days.rf.above.1mm_hv_y1_c10",NA,"swa_hv_y1_b20=[74.2|101)|days.rf.above.1mm_hv_y1_c10=[0|2.6)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
9,20.2,18,0.0156,136.756,201.966,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Start of Maturity (current year) is between 0 days and 3.46 days","days.rf.above.1mm_sm_y1_a20",NA,"swa_hv_y1_b20=[74.2|101)|days.rf.above.1mm_hv_y1_c10=[0|2.6)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
10,22.5,20,0.0157,123.164,147.664,"above-trend",2,"Mean daily temperature in the 10 days before Flowering (previous year) is between 16 °C and 18 °C","tm_fl_y0_b10",NA,"tm_fl_y0_b10=[16|18)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
