"rule_rank","support_pct","n_years_approx","pvalue","mean_deviation","stdev","direction","n_conditions","sentences","features","condition_3","raw_subgroup"
1,21.2,17,0.0198,-337.504,568.769,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 61.5 mm and 97 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
1,21.2,17,0.0198,-337.504,568.769,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 1.91 days","days.tempMax.above.35_sm_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
1,21.2,17,0.0198,-337.504,568.769,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Start of Maturity (current year) is between 0 days and 2.37 days","days.maxTemp.above.35_sm_y1_a20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
1,21.2,17,0.0198,-337.504,568.769,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.14 days","days.maxTemp.above.35_fl_y1_a20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
2,21.2,17,0.0216,-267.623,551.505,"below-trend",2,"Mean daily temperature in a 15-day window centred on Flowering (current year) is between 13.8 °C and 17.1 °C","tm_fl_y1_c15",NA,"tm_fl_y1_c15=[13.8|17.1)|tm_fl_y1_a10=[12.6|17.5)|sw.above.09fc_fl_y0_a20=[17.5|20]"
2,21.2,17,0.0216,-267.623,551.505,"below-trend",2,"Mean daily temperature in the 10 days after Flowering (current year) is between 12.6 °C and 17.5 °C","tm_fl_y1_a10",NA,"tm_fl_y1_c15=[13.8|17.1)|tm_fl_y1_a10=[12.6|17.5)|sw.above.09fc_fl_y0_a20=[17.5|20]"
2,21.2,17,0.0216,-267.623,551.505,"below-trend",2,"Wet-soil days (soil water above 0.9× field capacity) in the 20 days after Flowering (previous year) is between 17.5 days and 20 days","sw.above.09fc_fl_y0_a20",NA,"tm_fl_y1_c15=[13.8|17.1)|tm_fl_y1_a10=[12.6|17.5)|sw.above.09fc_fl_y0_a20=[17.5|20]"
3,27.5,22,0.0294,-365.438,467.015,"below-trend",2,"Available soil water in the 15 days after Flowering (current year) is between 143 mm and 234 mm","swa_fl_y1_a15",NA,"swa_fl_y1_a15=[143|234]|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
3,27.5,22,0.0294,-365.438,467.015,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Start of Maturity (current year) is between 0 days and 2.37 days","days.maxTemp.above.35_sm_y1_a20",NA,"swa_fl_y1_a15=[143|234]|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
4,25,20,0.0298,310.842,711.723,"above-trend",2,"Mean daily temperature in the 30 days after Bud Break (previous year) is between 11.2 °C and 13.5 °C","tm_bb_y0_a30",NA,"tm_bb_y0_a30=[11.2|13.5)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
4,25,20,0.0298,310.842,711.723,"above-trend",2,"Cold days (mean temperature below 15°C) in a 15-day window centred on Flowering (current year) is between 0 days and 3.4 days","tm.days.less.15_fl_y1_c15",NA,"tm_bb_y0_a30=[11.2|13.5)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
4,25,20,0.0298,310.842,711.723,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.14 days","days.maxTemp.above.35_fl_y1_a20",NA,"tm_bb_y0_a30=[11.2|13.5)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
5,23.8,19,0.0299,-292.43,400.746,"below-trend",2,"Mean daily temperature in the 10 days after Flowering (current year) is between 12.6 °C and 17.5 °C","tm_fl_y1_a10",NA,"tm_fl_y1_a10=[12.6|17.5)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|sw.above.09fc_fl_y0_a20=[17.5|20]"
5,23.8,19,0.0299,-292.43,400.746,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Start of Maturity (current year) is between 0 days and 2.37 days","days.maxTemp.above.35_sm_y1_a20",NA,"tm_fl_y1_a10=[12.6|17.5)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|sw.above.09fc_fl_y0_a20=[17.5|20]"
5,23.8,19,0.0299,-292.43,400.746,"below-trend",2,"Wet-soil days (soil water above 0.9× field capacity) in the 20 days after Flowering (previous year) is between 17.5 days and 20 days","sw.above.09fc_fl_y0_a20",NA,"tm_fl_y1_a10=[12.6|17.5)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|sw.above.09fc_fl_y0_a20=[17.5|20]"
6,26.2,21,0.0356,-386.657,461.548,"below-trend",2,"Rainfall sum in the 10 days after Flowering (current year) is between 20.7 mm and 121 mm","rf_fl_y1_a10",NA,"rf_fl_y1_a10=[20.7|121]|iaf_hv_y1_c10=[1.29|2.52]|days.maxTemp.above.35_fl_y1_a10=[0|1.26)"
6,26.2,21,0.0356,-386.657,461.548,"below-trend",2,"Leaf Area Index (IAF) in a 10-day window centred on Harvest (current year) is between 1.29 m²/m² and 2.52 m²/m²","iaf_hv_y1_c10",NA,"rf_fl_y1_a10=[20.7|121]|iaf_hv_y1_c10=[1.29|2.52]|days.maxTemp.above.35_fl_y1_a10=[0|1.26)"
6,26.2,21,0.0356,-386.657,461.548,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 1.26 days","days.maxTemp.above.35_fl_y1_a10",NA,"rf_fl_y1_a10=[20.7|121]|iaf_hv_y1_c10=[1.29|2.52]|days.maxTemp.above.35_fl_y1_a10=[0|1.26)"
7,26.2,21,0.0356,-386.657,461.548,"below-trend",2,"Rainfall sum in the 10 days after Flowering (current year) is between 20.7 mm and 121 mm","rf_fl_y1_a10",NA,"rf_fl_y1_a10=[20.7|121]|iaf_hv_y1_c10=[1.29|2.52]|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
7,26.2,21,0.0356,-386.657,461.548,"below-trend",2,"Leaf Area Index (IAF) in a 10-day window centred on Harvest (current year) is between 1.29 m²/m² and 2.52 m²/m²","iaf_hv_y1_c10",NA,"rf_fl_y1_a10=[20.7|121]|iaf_hv_y1_c10=[1.29|2.52]|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
7,26.2,21,0.0356,-386.657,461.548,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.14 days","days.maxTemp.above.35_fl_y1_a20",NA,"rf_fl_y1_a10=[20.7|121]|iaf_hv_y1_c10=[1.29|2.52]|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
8,22.5,18,0.0357,-332.032,459.987,"below-trend",2,"Leaf Area Index (IAF) in the 10 days before Flowering (previous year) is between 2.16 m²/m² and 2.21 m²/m²","iaf_fl_y0_b10",NA,"iaf_fl_y0_b10=[2.16|2.21)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
8,22.5,18,0.0357,-332.032,459.987,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 1.91 days","days.tempMax.above.35_sm_y1_b20",NA,"iaf_fl_y0_b10=[2.16|2.21)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
8,22.5,18,0.0357,-332.032,459.987,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Start of Maturity (current year) is between 0 days and 2.37 days","days.maxTemp.above.35_sm_y1_a20",NA,"iaf_fl_y0_b10=[2.16|2.21)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
9,23.8,19,0.0394,-370.861,483.945,"below-trend",2,"Available soil water in the 15 days after Flowering (current year) is between 143 mm and 234 mm","swa_fl_y1_a15",NA,"swa_fl_y1_a15=[143|234]|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
9,23.8,19,0.0394,-370.861,483.945,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 1.91 days","days.tempMax.above.35_sm_y1_b20",NA,"swa_fl_y1_a15=[143|234]|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
9,23.8,19,0.0394,-370.861,483.945,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Start of Maturity (current year) is between 0 days and 2.37 days","days.maxTemp.above.35_sm_y1_a20",NA,"swa_fl_y1_a15=[143|234]|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
10,25,20,0.0397,-245.495,591.216,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 61.5 mm and 97 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
10,25,20,0.0397,-245.495,591.216,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 1.91 days","days.tempMax.above.35_sm_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
