"scenario","n_train","train_end_year","test_start_year","n_test","model","mae","rmse","r2","detrend_method"
1,71,2004,2005,18,"Naive",205.299,236.078,-1.6342,"linear"
1,71,2004,2005,18,"Naive_Median",183.549,208.704,-1.0587,"linear"
1,71,2004,2005,18,"Naive_MA",212.066,245.246,-1.8428,"linear"
1,71,2004,2005,18,"DT",273.5,325.598,-4.0107,"linear"
1,71,2004,2005,18,"Ripper",450.688,486.792,-10.2002,"linear"
1,71,2004,2005,18,"CarenR_Dist",209.009,244.932,-1.8355,"linear"
1,71,2004,2005,18,"CarenR_Dist_FS",201.347,242.737,-1.7849,"linear"
1,71,2004,2005,18,"CarenR_Dist_Thresh",202.537,237.193,-1.6592,"linear"
1,71,2004,2005,18,"CarenR_Dist_Sup",202.27,237.054,-1.656,"linear"
1,71,2004,2005,18,"CarenR_Dist_Sup_Thresh",202.537,237.193,-1.6592,"linear"
1,71,2004,2005,18,"CarenR_Dist_Eta2",199.543,238.833,-1.696,"linear"
1,71,2004,2005,18,"CarenR_Dist_Lag",202.537,237.193,-1.6592,"linear"
1,71,2004,2005,18,"CarenR_Dist_Conf",202.537,237.193,-1.6592,"linear"
1,71,2004,2005,18,"CarenR_Dist_Stack",224.313,258.852,-2.167,"linear"
1,71,2004,2005,18,"CarenR_Dist_Sup_FS",202.012,236.922,-1.6531,"linear"
1,71,2004,2005,18,"CarenR_Supervised",259.6,300.321,-3.263,"linear"
1,71,2004,2005,18,"M5Rules",161.474,193.319,-0.7664,"linear"
2,72,2005,2006,17,"Naive",215.52,247.41,-2.1198,"linear"
2,72,2005,2006,17,"Naive_Median",199.651,228.077,-1.6513,"linear"
2,72,2005,2006,17,"Naive_MA",234.654,269.18,-2.693,"linear"
2,72,2005,2006,17,"DT",276.816,330.16,-4.5558,"linear"
2,72,2005,2006,17,"Ripper",241.17,305.365,-3.7526,"linear"
2,72,2005,2006,17,"CarenR_Dist",223.305,255.91,-2.3379,"linear"
2,72,2005,2006,17,"CarenR_Dist_FS",196.374,232.029,-1.744,"linear"
2,72,2005,2006,17,"CarenR_Dist_Thresh",223.763,253.735,-2.2814,"linear"
2,72,2005,2006,17,"CarenR_Dist_Sup",198.357,227.9,-1.6472,"linear"
2,72,2005,2006,17,"CarenR_Dist_Sup_Thresh",223.763,253.735,-2.2814,"linear"
2,72,2005,2006,17,"CarenR_Dist_Eta2",204.765,239.356,-1.92,"linear"
2,72,2005,2006,17,"CarenR_Dist_Lag",223.763,253.735,-2.2814,"linear"
2,72,2005,2006,17,"CarenR_Dist_Conf",223.763,253.735,-2.2814,"linear"
2,72,2005,2006,17,"CarenR_Dist_Stack",241.684,273.344,-2.8082,"linear"
2,72,2005,2006,17,"CarenR_Dist_Sup_FS",198.365,228.009,-1.6497,"linear"
2,72,2005,2006,17,"CarenR_Supervised",268.295,312.21,-3.9681,"linear"
2,72,2005,2006,17,"M5Rules",181.495,209.828,-1.244,"linear"
3,73,2006,2007,16,"Naive",227.504,259.209,-2.8218,"linear"
3,73,2006,2007,16,"Naive_Median",223.315,254.388,-2.6809,"linear"
3,73,2006,2007,16,"Naive_MA",213.893,243.663,-2.3771,"linear"
3,73,2006,2007,16,"DT",294.749,342.847,-5.686,"linear"
3,73,2006,2007,16,"Ripper",317.74,376.906,-7.0804,"linear"
3,73,2006,2007,16,"CarenR_Dist",236.478,260.749,-2.8673,"linear"
3,73,2006,2007,16,"CarenR_Dist_FS",206.707,237.956,-2.2208,"linear"
3,73,2006,2007,16,"CarenR_Dist_Thresh",242.091,271.516,-3.1933,"linear"
3,73,2006,2007,16,"CarenR_Dist_Sup",209.475,240.384,-2.2868,"linear"
3,73,2006,2007,16,"CarenR_Dist_Sup_Thresh",242.091,271.516,-3.1933,"linear"
3,73,2006,2007,16,"CarenR_Dist_Eta2",215.992,246.07,-2.4442,"linear"
3,73,2006,2007,16,"CarenR_Dist_Lag",242.091,271.516,-3.1933,"linear"
3,73,2006,2007,16,"CarenR_Dist_Conf",242.091,271.516,-3.1933,"linear"
3,73,2006,2007,16,"CarenR_Dist_Stack",259.575,289.456,-3.7658,"linear"
3,73,2006,2007,16,"CarenR_Dist_Sup_FS",210.712,241.577,-2.3195,"linear"
3,73,2006,2007,16,"CarenR_Supervised",293.142,326.593,-5.0671,"linear"
3,73,2006,2007,16,"M5Rules",229.812,254.825,-2.6936,"linear"
4,74,2007,2008,15,"Naive",221.409,253.137,-2.4352,"linear"
4,74,2007,2008,15,"Naive_Median",203.892,233.183,-1.915,"linear"
4,74,2007,2008,15,"Naive_MA",226.091,258.585,-2.5847,"linear"
4,74,2007,2008,15,"DT",289.089,341.304,-5.2449,"linear"
4,74,2007,2008,15,"Ripper",191.332,242.283,-2.1469,"linear"
4,74,2007,2008,15,"CarenR_Dist",243.93,268.134,-2.8543,"linear"
4,74,2007,2008,15,"CarenR_Dist_FS",207.482,237.72,-2.0295,"linear"
4,74,2007,2008,15,"CarenR_Dist_Thresh",238.414,264.249,-2.7434,"linear"
4,74,2007,2008,15,"CarenR_Dist_Sup",210.606,236.964,-2.0103,"linear"
4,74,2007,2008,15,"CarenR_Dist_Sup_Thresh",238.414,264.249,-2.7434,"linear"
4,74,2007,2008,15,"CarenR_Dist_Eta2",203.739,234.439,-1.9465,"linear"
4,74,2007,2008,15,"CarenR_Dist_Lag",238.414,264.249,-2.7434,"linear"
4,74,2007,2008,15,"CarenR_Dist_Conf",238.414,264.249,-2.7434,"linear"
4,74,2007,2008,15,"CarenR_Dist_Stack",260.178,286.565,-3.4024,"linear"
4,74,2007,2008,15,"CarenR_Dist_Sup_FS",210.463,236.958,-2.0101,"linear"
4,74,2007,2008,15,"CarenR_Supervised",292.853,325.831,-4.6915,"linear"
4,74,2007,2008,15,"M5Rules",220.351,241.294,-2.1213,"linear"
5,75,2008,2009,14,"Naive",207.722,239.938,-2.0149,"linear"
5,75,2008,2009,14,"Naive_Median",184.329,213.931,-1.3968,"linear"
5,75,2008,2009,14,"Naive_MA",243.421,279.155,-3.081,"linear"
5,75,2008,2009,14,"DT",301.095,339.123,-5.0227,"linear"
5,75,2008,2009,14,"Ripper",242.795,340.825,-5.0833,"linear"
5,75,2008,2009,14,"CarenR_Dist",234.276,261.616,-2.5843,"linear"
5,75,2008,2009,14,"CarenR_Dist_FS",224.645,256.026,-2.4327,"linear"
5,75,2008,2009,14,"CarenR_Dist_Thresh",229.866,255.93,-2.4302,"linear"
5,75,2008,2009,14,"CarenR_Dist_Sup",230.173,256.17,-2.4366,"linear"
5,75,2008,2009,14,"CarenR_Dist_Sup_Thresh",229.866,255.93,-2.4302,"linear"
5,75,2008,2009,14,"CarenR_Dist_Eta2",209.471,241.288,-2.0489,"linear"
5,75,2008,2009,14,"CarenR_Dist_Lag",229.866,255.93,-2.4302,"linear"
5,75,2008,2009,14,"CarenR_Dist_Conf",229.866,255.93,-2.4302,"linear"
5,75,2008,2009,14,"CarenR_Dist_Stack",254.131,280.83,-3.1301,"linear"
5,75,2008,2009,14,"CarenR_Dist_Sup_FS",229.817,255.893,-2.4292,"linear"
5,75,2008,2009,14,"CarenR_Supervised",259.251,289.741,-3.3964,"linear"
5,75,2008,2009,14,"M5Rules",184.871,206.797,-1.2396,"linear"
6,76,2009,2010,13,"Naive",191.123,223.981,-1.6441,"linear"
6,76,2009,2010,13,"Naive_Median",174.443,205.792,-1.2321,"linear"
6,76,2009,2010,13,"Naive_MA",202.449,236.933,-1.9587,"linear"
6,76,2009,2010,13,"DT",214.239,273.139,-2.9321,"linear"
6,76,2009,2010,13,"Ripper",253.019,309.486,-4.0482,"linear"
6,76,2009,2010,13,"CarenR_Dist",241.264,273.725,-2.949,"linear"
6,76,2009,2010,13,"CarenR_Dist_FS",201.447,231.01,-1.8127,"linear"
6,76,2009,2010,13,"CarenR_Dist_Thresh",215.649,245.163,-2.1679,"linear"
6,76,2009,2010,13,"CarenR_Dist_Sup",215.948,245.388,-2.1737,"linear"
6,76,2009,2010,13,"CarenR_Dist_Sup_Thresh",215.649,245.163,-2.1679,"linear"
6,76,2009,2010,13,"CarenR_Dist_Eta2",201.447,231.01,-1.8127,"linear"
6,76,2009,2010,13,"CarenR_Dist_Lag",215.649,245.163,-2.1679,"linear"
6,76,2009,2010,13,"CarenR_Dist_Conf",215.649,245.163,-2.1679,"linear"
6,76,2009,2010,13,"CarenR_Dist_Stack",235.263,266.771,-2.7509,"linear"
