"scenario","n_train","train_end_year","test_start_year","n_test","model","mae","rmse","r2","detrend_method"
1,64,2005,2006,16,"Naive",215.356,250.179,-6.948,"linear"
1,64,2005,2006,16,"Naive_Median",142.958,168.717,-2.6147,"linear"
1,64,2005,2006,16,"Naive_MA",130.522,160.994,-2.2914,"linear"
1,64,2005,2006,16,"DT",512.93,602.646,-45.1192,"linear"
1,64,2005,2006,16,"Ripper",583.674,624.747,-48.5639,"linear"
1,64,2005,2006,16,"CarenR_Dist",254.676,288.258,-9.5516,"linear"
1,64,2005,2006,16,"CarenR_Dist_FS",250.612,303.028,-10.6606,"linear"
1,64,2005,2006,16,"CarenR_Dist_Thresh",222.514,280.267,-8.9747,"linear"
1,64,2005,2006,16,"CarenR_Dist_Sup",175.311,211.2,-4.6643,"linear"
1,64,2005,2006,16,"CarenR_Dist_Sup_Thresh",142.958,168.717,-2.6147,"linear"
1,64,2005,2006,16,"CarenR_Dist_Eta2",250.612,303.028,-10.6606,"linear"
1,64,2005,2006,16,"CarenR_Dist_Lag",205.291,269.293,-8.2089,"linear"
1,64,2005,2006,16,"CarenR_Dist_Conf",142.958,168.717,-2.6147,"linear"
1,64,2005,2006,16,"CarenR_Dist_Stack",251.523,286.926,-9.4543,"linear"
1,64,2005,2006,16,"CarenR_Dist_Sup_FS",142.958,168.717,-2.6147,"linear"
1,64,2005,2006,16,"CarenR_Supervised",400.654,493.631,-29.9429,"linear"
1,64,2005,2006,16,"M5Rules",286.375,332.068,-13.0026,"linear"
2,65,2006,2007,15,"Naive",201.968,237.774,-6.7436,"linear"
2,65,2006,2007,15,"Naive_Median",137.271,162.964,-2.6374,"linear"
2,65,2006,2007,15,"Naive_MA",169.644,206.285,-4.8284,"linear"
2,65,2006,2007,15,"DT",634.371,714.828,-68.9872,"linear"
2,65,2006,2007,15,"Ripper",402.858,438.636,-25.3525,"linear"
2,65,2006,2007,15,"CarenR_Dist",259.786,291.465,-10.6355,"linear"
2,65,2006,2007,15,"CarenR_Dist_FS",210.745,254.425,-7.8662,"linear"
2,65,2006,2007,15,"CarenR_Dist_Thresh",183.563,232.833,-6.4251,"linear"
2,65,2006,2007,15,"CarenR_Dist_Sup",159.538,199.182,-4.4339,"linear"
2,65,2006,2007,15,"CarenR_Dist_Sup_Thresh",151.366,189.091,-3.8973,"linear"
2,65,2006,2007,15,"CarenR_Dist_Eta2",214.302,259.337,-8.2118,"linear"
2,65,2006,2007,15,"CarenR_Dist_Lag",206.157,274.474,-9.3185,"linear"
2,65,2006,2007,15,"CarenR_Dist_Conf",151.366,189.091,-3.8973,"linear"
2,65,2006,2007,15,"CarenR_Dist_Stack",310.359,362.021,-16.9507,"linear"
2,65,2006,2007,15,"CarenR_Dist_Sup_FS",151.366,189.091,-3.8973,"linear"
2,65,2006,2007,15,"CarenR_Supervised",385.416,468.875,-29.1112,"linear"
2,65,2006,2007,15,"M5Rules",235.294,270.872,-9.0495,"linear"
3,66,2007,2008,14,"Naive",165.748,195.268,-4.3597,"linear"
3,66,2007,2008,14,"Naive_Median",115.748,134.08,-1.527,"linear"
3,66,2007,2008,14,"Naive_MA",150.674,187.008,-3.9158,"linear"
3,66,2007,2008,14,"DT",503.956,597.812,-49.2346,"linear"
3,66,2007,2008,14,"Ripper",505.328,530.581,-38.5709,"linear"
3,66,2007,2008,14,"CarenR_Dist",287.563,312.352,-12.714,"linear"
3,66,2007,2008,14,"CarenR_Dist_FS",194.463,270.997,-9.3229,"linear"
3,66,2007,2008,14,"CarenR_Dist_Thresh",194.463,270.997,-9.3229,"linear"
3,66,2007,2008,14,"CarenR_Dist_Sup",164.34,200.507,-4.6511,"linear"
3,66,2007,2008,14,"CarenR_Dist_Sup_Thresh",115.748,134.08,-1.527,"linear"
3,66,2007,2008,14,"CarenR_Dist_Eta2",194.463,270.997,-9.3229,"linear"
3,66,2007,2008,14,"CarenR_Dist_Lag",194.463,270.997,-9.3229,"linear"
3,66,2007,2008,14,"CarenR_Dist_Conf",115.748,134.08,-1.527,"linear"
3,66,2007,2008,14,"CarenR_Dist_Stack",109.367,129.469,-1.3562,"linear"
3,66,2007,2008,14,"CarenR_Dist_Sup_FS",115.748,134.08,-1.527,"linear"
3,66,2007,2008,14,"CarenR_Supervised",346.048,415.309,-23.2446,"linear"
3,66,2007,2008,14,"M5Rules",240.712,296.463,-11.3542,"linear"
4,67,2008,2009,13,"Naive",143.87,169.229,-2.7777,"linear"
4,67,2008,2009,13,"Naive_Median",106.011,127.449,-1.1427,"linear"
4,67,2008,2009,13,"Naive_MA",135.655,169.56,-2.7925,"linear"
4,67,2008,2009,13,"DT",557.345,621.014,-49.8722,"linear"
4,67,2008,2009,13,"Ripper",322.938,455.277,-26.342,"linear"
4,67,2008,2009,13,"CarenR_Dist",296.333,318.563,-12.3866,"linear"
4,67,2008,2009,13,"CarenR_Dist_FS",165.911,209.433,-4.7859,"linear"
4,67,2008,2009,13,"CarenR_Dist_Thresh",166.392,210.994,-4.8724,"linear"
4,67,2008,2009,13,"CarenR_Dist_Sup",150.302,187.372,-3.6311,"linear"
4,67,2008,2009,13,"CarenR_Dist_Sup_Thresh",139.422,173.495,-2.9706,"linear"
4,67,2008,2009,13,"CarenR_Dist_Eta2",163.825,207.062,-4.6556,"linear"
4,67,2008,2009,13,"CarenR_Dist_Lag",184.074,267.163,-8.4152,"linear"
4,67,2008,2009,13,"CarenR_Dist_Conf",139.422,173.495,-2.9706,"linear"
4,67,2008,2009,13,"CarenR_Dist_Stack",209.669,244.209,-6.8669,"linear"
4,67,2008,2009,13,"CarenR_Dist_Sup_FS",139.422,173.495,-2.9706,"linear"
4,67,2008,2009,13,"CarenR_Supervised",442.796,470.517,-28.2031,"linear"
4,67,2008,2009,13,"M5Rules",199.338,248.246,-7.1291,"linear"
5,68,2009,2010,12,"Naive",134.124,160.184,-2.208,"linear"
5,68,2009,2010,12,"Naive_Median",111.445,134.449,-1.26,"linear"
5,68,2009,2010,12,"Naive_MA",159.183,192.343,-3.6254,"linear"
5,68,2009,2010,12,"DT",543.64,614.07,-46.1449,"linear"
5,68,2009,2010,12,"Ripper",572.581,606.754,-45.0282,"linear"
5,68,2009,2010,12,"CarenR_Dist",292.785,321.188,-11.8979,"linear"
5,68,2009,2010,12,"CarenR_Dist_FS",209.911,249.321,-6.7717,"linear"
5,68,2009,2010,12,"CarenR_Dist_Thresh",176.899,221.792,-5.1502,"linear"
5,68,2009,2010,12,"CarenR_Dist_Sup",161.371,198.444,-3.9235,"linear"
5,68,2009,2010,12,"CarenR_Dist_Sup_Thresh",150.245,184.663,-3.2634,"linear"
5,68,2009,2010,12,"CarenR_Dist_Eta2",213.465,254.622,-7.1057,"linear"
5,68,2009,2010,12,"CarenR_Dist_Lag",198.263,280.788,-8.8573,"linear"
5,68,2009,2010,12,"CarenR_Dist_Conf",150.245,184.663,-3.2634,"linear"
5,68,2009,2010,12,"CarenR_Dist_Stack",198.791,237.993,-6.0815,"linear"
5,68,2009,2010,12,"CarenR_Dist_Sup_FS",150.245,184.663,-3.2634,"linear"
5,68,2009,2010,12,"CarenR_Supervised",408.928,449.001,-24.2054,"linear"
5,68,2009,2010,12,"M5Rules",217.477,271.78,-8.2349,"linear"
6,69,2010,2011,11,"Naive",132.703,159.97,-2.2735,"linear"
6,69,2010,2011,11,"Naive_Median",121.541,142.002,-1.5794,"linear"
6,69,2010,2011,11,"Naive_MA",146.465,179.998,-3.1445,"linear"
6,69,2010,2011,11,"DT",519.377,613.74,-47.1837,"linear"
6,69,2010,2011,11,"Ripper",624.389,646.544,-52.4722,"linear"
