"model","mean_mae","sd_mae","weighted_mae","mean_r2","region","detrend_method"
"Naive_Median",172.772388888889,28.4175589425206,184.02565497076,-1.11099411764706,"RDD","linear"
"CarenR_Dist_Eta2",179.432,30.5665018529993,189.170789473684,-1.3744,"RDD","linear"
"CarenR_Dist_FS",189.031555555556,22.3846710791171,193.520994152047,-1.62332352941176,"RDD","linear"
"Naive_MA",170.284944444444,51.0572067189139,194.552298245614,-1.21008823529412,"RDD","linear"
"CarenR_Dist_Sup_FS",191.149222222222,33.4585526260486,196.877169590643,-1.61231176470588,"RDD","linear"
"CarenR_Dist_Sup",191.358055555556,33.2820411535962,197.010748538012,-1.6142,"RDD","linear"
"Naive",186.292444444444,32.0078394684475,199.396918128655,-1.48221764705882,"RDD","linear"
"M5Rules",190.220111111111,38.4407143318106,199.99318128655,-1.66192352941176,"RDD","linear"
"CarenR_Dist_Lag",181.620055555556,42.7163697296374,200.949257309941,-1.37311764705882,"RDD","linear"
"CarenR_Dist_Conf",193.860388888889,38.6867336254248,203.065286549708,-1.66257647058824,"RDD","linear"
"CarenR_Dist_Sup_Thresh",193.860388888889,38.6867336254248,203.065286549708,-1.66257647058824,"RDD","linear"
"CarenR_Dist_Thresh",193.860388888889,38.6867336254248,203.065286549708,-1.66257647058824,"RDD","linear"
"CarenR_Dist",204.295166666667,39.0620551283844,215.294397660819,-1.85887058823529,"RDD","linear"
"CarenR_Dist_Stack",217.792166666667,32.2453577821677,228.954391812866,-2.2715,"RDD","linear"
"CarenR_Supervised",230.084222222222,36.6374887858863,239.533947368421,-2.81093529411765,"RDD","linear"
"DT",242.394833333333,43.696508784018,249.712099415205,-3.60378823529412,"RDD","linear"
"Ripper",275.916166666667,84.5557998054261,279.364538011696,-4.94448235294118,"RDD","linear"
