"model","mean_mae","sd_mae","weighted_mae","mean_r2","region","detrend_method"
"Naive_Median",162.0819375,46.9806393180123,140.384897058824,-14.0017666666667,"RVV","linear"
"Naive",131.65825,38.4326848736853,143.845367647059,-5.66437333333333,"RVV","linear"
"Naive_MA",185.10225,34.8102104781533,170.465286764706,-13.8839933333333,"RVV","linear"
"CarenR_Dist_Sup_FS",191.50475,45.1453360979847,171.599286764706,-15.89696,"RVV","linear"
"CarenR_Dist_Sup_Thresh",191.50475,45.1453360979847,171.599286764706,-15.89696,"RVV","linear"
"CarenR_Dist_Conf",191.513625,45.1592116271236,171.605551470588,-15.8978666666667,"RVV","linear"
"CarenR_Dist_Sup",199.9418125,35.9198551040484,185.171948529412,-16.4606933333333,"RVV","linear"
"CarenR_Dist_Stack",177.097875,57.3386743514649,196.185051470588,-9.5247,"RVV","linear"
"CarenR_Dist_Thresh",218.4506875,35.5351957055138,209.415941176471,-18.37006,"RVV","linear"
"CarenR_Dist_FS",231.4345,33.33162654897,222.439492647059,-20.09806,"RVV","linear"
"CarenR_Dist_Lag",232.9771875,43.3621125134508,225.041889705882,-21.40414,"RVV","linear"
"CarenR_Dist_Eta2",233.8330625,41.8483322590339,225.734139705882,-19.92442,"RVV","linear"
"M5Rules",272.81625,79.0062046774387,267.478860294118,-29.3340733333333,"RVV","linear"
"CarenR_Dist",270.579625,38.0221258232186,274.599661764706,-22.90566,"RVV","linear"
"CarenR_Supervised",325.072625,77.4163917930176,347.271389705882,-38.7287866666667,"RVV","linear"
"DT",423.7880625,114.038523820955,479.347477941176,-50.8616066666667,"RVV","linear"
"Ripper",524.1461875,153.53770536222,508.229367647059,-95.3159866666667,"RVV","linear"
