"scenario","n_train","train_end_year","test_start_year","n_test","model","mae","rmse","r2","detrend_method"
1,71,2004,2005,18,"Naive",487.499,541.34,-12.8509,"lowess"
1,71,2004,2005,18,"Naive_Median",457.241,510.53,-11.3192,"lowess"
1,71,2004,2005,18,"Naive_MA",498.617,551.767,-13.3897,"lowess"
1,71,2004,2005,18,"DT",517.676,592.784,-15.6086,"lowess"
1,71,2004,2005,18,"Ripper",478.796,532.24,-12.3892,"lowess"
1,71,2004,2005,18,"CarenR_Dist",572.142,614.704,-16.8596,"lowess"
1,71,2004,2005,18,"CarenR_Dist_FS",563.063,600.58,-16.0483,"lowess"
1,71,2004,2005,18,"CarenR_Dist_Thresh",457.241,510.53,-11.3192,"lowess"
1,71,2004,2005,18,"CarenR_Dist_Sup",437.252,493.611,-10.5162,"lowess"
1,71,2004,2005,18,"CarenR_Dist_Sup_Thresh",457.241,510.53,-11.3192,"lowess"
1,71,2004,2005,18,"CarenR_Dist_Eta2",585.943,621.77,-17.2725,"lowess"
1,71,2004,2005,18,"CarenR_Dist_Lag",457.241,510.53,-11.3192,"lowess"
1,71,2004,2005,18,"CarenR_Dist_Conf",457.241,510.53,-11.3192,"lowess"
1,71,2004,2005,18,"CarenR_Dist_Stack",603.485,669.592,-20.1914,"lowess"
1,71,2004,2005,18,"CarenR_Dist_Sup_FS",457.241,510.53,-11.3192,"lowess"
1,71,2004,2005,18,"CarenR_Supervised",503.448,540.887,-12.8278,"lowess"
1,71,2004,2005,18,"M5Rules",545.396,603.814,-16.2324,"lowess"
2,72,2005,2006,17,"Naive",579.522,623.688,-18.8259,"lowess"
2,72,2005,2006,17,"Naive_Median",549.749,596.124,-17.1122,"lowess"
2,72,2005,2006,17,"Naive_MA",595.09,638.179,-19.7578,"lowess"
2,72,2005,2006,17,"DT",635.155,694.296,-23.569,"lowess"
2,72,2005,2006,17,"Ripper",687.845,754.62,-28.0238,"lowess"
2,72,2005,2006,17,"CarenR_Dist",605.799,655.339,-20.8891,"lowess"
2,72,2005,2006,17,"CarenR_Dist_FS",549.749,596.124,-17.1122,"lowess"
