"scenario","n_train","train_end_year","test_start_year","n_test","model","mae","rmse","r2","detrend_method"
1,64,2005,2006,16,"Naive",88.298,107.232,-0.4602,"lowess"
1,64,2005,2006,16,"Naive_Median",92.064,113.942,-0.6486,"lowess"
1,64,2005,2006,16,"Naive_MA",87.441,107.008,-0.4541,"lowess"
1,64,2005,2006,16,"DT",306.28,341.703,-13.827,"lowess"
1,64,2005,2006,16,"Ripper",529.222,558.054,-38.5466,"lowess"
1,64,2005,2006,16,"CarenR_Dist",288.714,328.434,-12.6979,"lowess"
1,64,2005,2006,16,"CarenR_Dist_FS",275.975,331.562,-12.9601,"lowess"
1,64,2005,2006,16,"CarenR_Dist_Thresh",92.064,113.942,-0.6486,"lowess"
1,64,2005,2006,16,"CarenR_Dist_Sup",174.217,247.675,-6.7897,"lowess"
1,64,2005,2006,16,"CarenR_Dist_Sup_Thresh",92.064,113.942,-0.6486,"lowess"
1,64,2005,2006,16,"CarenR_Dist_Eta2",180.928,259.723,-7.566,"lowess"
1,64,2005,2006,16,"CarenR_Dist_Lag",92.064,113.942,-0.6486,"lowess"
1,64,2005,2006,16,"CarenR_Dist_Conf",92.064,113.942,-0.6486,"lowess"
1,64,2005,2006,16,"CarenR_Dist_Stack",104.546,124.94,-0.9823,"lowess"
1,64,2005,2006,16,"CarenR_Dist_Sup_FS",92.064,113.942,-0.6486,"lowess"
1,64,2005,2006,16,"M5Rules",189.577,212.291,-4.7229,"lowess"
2,65,2006,2007,15,"Naive",103.842,127.853,-1.2389,"lowess"
2,65,2006,2007,15,"Naive_Median",117.263,141.058,-1.7253,"lowess"
2,65,2006,2007,15,"Naive_MA",79.196,94.002,-0.2103,"lowess"
2,65,2006,2007,15,"DT",326.418,378.757,-18.6488,"lowess"
2,65,2006,2007,15,"Ripper",628.137,640.77,-55.2367,"lowess"
2,65,2006,2007,15,"CarenR_Dist",254.267,293.1,-10.7665,"lowess"
2,65,2006,2007,15,"CarenR_Dist_FS",189.325,244.961,-7.2188,"lowess"
2,65,2006,2007,15,"CarenR_Dist_Thresh",117.263,141.058,-1.7253,"lowess"
2,65,2006,2007,15,"CarenR_Dist_Sup",117.263,141.058,-1.7253,"lowess"
