"model","mean_mae","sd_mae","weighted_mae","mean_r2","region","detrend_method"
"Naive_Median",236.192,150.644816725029,289.59281871345,-4.44312352941177,"RDD","lowess"
"CarenR_Dist_Sup",240.701333333333,149.628361180391,291.066380116959,-4.45925294117647,"RDD","lowess"
"CarenR_Dist_Lag",243.912666666667,142.86948546344,292.911321637427,-4.40407647058824,"RDD","lowess"
"Naive",232.240055555556,166.857287261925,295.161456140351,-4.49774117647059,"RDD","lowess"
"CarenR_Dist_Sup_FS",242.596444444444,157.034326039666,296.379409356725,-4.59825294117647,"RDD","lowess"
"CarenR_Supervised",244.167333333333,156.098330513739,298.993222222222,-4.8409294117647,"RDD","lowess"
"CarenR_Dist_Conf",247.998944444444,153.408020441632,299.793473684211,-4.68887647058824,"RDD","lowess"
"CarenR_Dist_Sup_Thresh",247.998944444444,153.408020441632,299.793473684211,-4.68887647058824,"RDD","lowess"
"CarenR_Dist_Thresh",247.998944444444,153.408020441632,299.793473684211,-4.68887647058824,"RDD","lowess"
"Naive_MA",238.011611111111,162.631129046194,299.97647368421,-4.62252941176471,"RDD","lowess"
"CarenR_Dist_FS",248.666666666667,170.071407545737,308.152,-4.98064117647059,"RDD","lowess"
"M5Rules",244.088666666667,178.685028377738,310.890315789474,-5.22590588235294,"RDD","lowess"
"CarenR_Dist",240.553777777778,189.000329387374,315.583421052631,-4.75674705882353,"RDD","lowess"
"CarenR_Dist_Eta2",256.740944444444,181.902066995814,321.435198830409,-5.4161,"RDD","lowess"
"DT",268.767888888889,167.554524046174,335.04352631579,-6.12758823529412,"RDD","lowess"
"Ripper",316.248777777778,136.110542376216,342.362251461988,-7.38812352941176,"RDD","lowess"
"CarenR_Dist_Stack",278.616222222222,208.388413314446,357.11469005848,-6.88249411764706,"RDD","lowess"
