"model","mean_mae","sd_mae","weighted_mae","mean_r2","region","detrend_method"
"Naive_MA",83.0831875,27.8311349444437,88.8391029411765,-1.13295333333333,"RVV","lowess"
"Naive",83.3643125,27.5969802230093,91.1153529411765,-1.17594666666667,"RVV","lowess"
"CarenR_Dist_Conf",81.2074375,31.4642361059214,92.8010367647059,-0.867546666666667,"RVV","lowess"
"CarenR_Dist_Sup_FS",81.2074375,31.4642361059214,92.8010367647059,-0.867546666666667,"RVV","lowess"
"CarenR_Dist_Sup_Thresh",81.2074375,31.4642361059214,92.8010367647059,-0.867546666666667,"RVV","lowess"
"CarenR_Dist_Thresh",81.2074375,31.4642361059214,92.8010367647059,-0.867546666666667,"RVV","lowess"
"Naive_Median",81.2074375,31.4642361059214,92.8010367647059,-0.867546666666667,"RVV","lowess"
"CarenR_Dist_Lag",95.631,45.2686373198929,105.801492647059,-1.8324,"RVV","lowess"
"CarenR_Dist_Stack",110.2471875,35.6848084002493,115.194794117647,-3.16416666666667,"RVV","lowess"
"CarenR_Dist_Sup",134.9829375,82.789638816677,148.018338235294,-6.64234666666667,"RVV","lowess"
"CarenR_Dist_Eta2",136.5854375,79.6332593045299,148.744147058824,-7.03954,"RVV","lowess"
"CarenR_Dist_FS",158.029125,85.9271750859412,180.232889705882,-8.31796666666667,"RVV","lowess"
"M5Rules",206.0579375,43.0566458028936,220.188301470588,-15.9475066666667,"RVV","lowess"
"DT",235.6985,88.1860175946278,272.271345588235,-17.9789066666667,"RVV","lowess"
"CarenR_Dist",277.4711875,126.103232836814,305.875102941176,-20.76992,"RVV","lowess"
"Ripper",513.57025,185.40782060582,538.777647058823,-85.4952266666667,"RVV","lowess"
