"span","region","adf_stat","adf_pval","stationary"
0.2,"RDD",-7.887,0.01,TRUE
0.25,"RDD",-6.169,0.01,TRUE
0.3,"RDD",-5.631,0.01,TRUE
0.35,"RDD",-5.226,0.01,TRUE
0.4,"RDD",-4.968,0.01,TRUE
0.45,"RDD",-4.79,0.01,TRUE
0.5,"RDD",-4.711,0.01,TRUE
0.55,"RDD",-4.627,0.01,TRUE
0.6,"RDD",-4.541,0.01,TRUE
0.65,"RDD",-4.433,0.01,TRUE
0.7,"RDD",-4.362,0.01,TRUE
0.75,"RDD",-4.302,0.01,TRUE
0.8,"RDD",-4.218,0.01,TRUE
0.85,"RDD",-4.143,0.01,TRUE
0.9,"RDD",-4.06,0.0103,TRUE
0.2,"RVV",-8.567,0.01,TRUE
0.25,"RVV",-7.296,0.01,TRUE
0.3,"RVV",-6.667,0.01,TRUE
0.35,"RVV",-6.32,0.01,TRUE
0.4,"RVV",-5.985,0.01,TRUE
0.45,"RVV",-5.643,0.01,TRUE
0.5,"RVV",-5.426,0.01,TRUE
0.55,"RVV",-5.25,0.01,TRUE
0.6,"RVV",-5.153,0.01,TRUE
0.65,"RVV",-4.995,0.01,TRUE
0.7,"RVV",-4.941,0.01,TRUE
0.75,"RVV",-4.862,0.01,TRUE
0.8,"RVV",-4.743,0.01,TRUE
0.85,"RVV",-4.604,0.01,TRUE
0.9,"RVV",-4.419,0.01,TRUE
