"span","region","feature","r_abs_loess","r_abs_linear","pct_retained"
0.2,"RDD","swa_hv_y1_b20",0.3997,0.33,121.2
0.2,"RDD","tm_hv_y1_c10",0.1545,0.1671,92.5
0.25,"RDD","swa_hv_y1_b20",0.4114,0.33,124.7
0.25,"RDD","tm_hv_y1_c10",0.1635,0.1671,97.9
0.3,"RDD","swa_hv_y1_b20",0.4193,0.33,127.1
0.3,"RDD","tm_hv_y1_c10",0.161,0.1671,96.4
0.35,"RDD","swa_hv_y1_b20",0.4118,0.33,124.8
0.35,"RDD","tm_hv_y1_c10",0.1672,0.1671,100.1
0.4,"RDD","swa_hv_y1_b20",0.4133,0.33,125.3
0.4,"RDD","tm_hv_y1_c10",0.1748,0.1671,104.6
0.45,"RDD","swa_hv_y1_b20",0.4148,0.33,125.7
0.45,"RDD","tm_hv_y1_c10",0.1872,0.1671,112
0.5,"RDD","swa_hv_y1_b20",0.4139,0.33,125.4
0.5,"RDD","tm_hv_y1_c10",0.189,0.1671,113.1
0.55,"RDD","swa_hv_y1_b20",0.4129,0.33,125.1
0.55,"RDD","tm_hv_y1_c10",0.1919,0.1671,114.9
0.6,"RDD","swa_hv_y1_b20",0.4121,0.33,124.9
0.6,"RDD","tm_hv_y1_c10",0.1945,0.1671,116.4
0.65,"RDD","swa_hv_y1_b20",0.4084,0.33,123.8
0.65,"RDD","tm_hv_y1_c10",0.1952,0.1671,116.8
0.7,"RDD","swa_hv_y1_b20",0.4047,0.33,122.6
0.7,"RDD","tm_hv_y1_c10",0.1948,0.1671,116.6
0.75,"RDD","swa_hv_y1_b20",0.4006,0.33,121.4
0.75,"RDD","tm_hv_y1_c10",0.1966,0.1671,117.6
0.8,"RDD","swa_hv_y1_b20",0.3964,0.33,120.1
0.8,"RDD","tm_hv_y1_c10",0.1971,0.1671,118
0.85,"RDD","swa_hv_y1_b20",0.3938,0.33,119.4
0.85,"RDD","tm_hv_y1_c10",0.1956,0.1671,117.1
0.9,"RDD","swa_hv_y1_b20",0.3922,0.33,118.9
0.9,"RDD","tm_hv_y1_c10",0.1923,0.1671,115.1
0.2,"RVV","iaf_hv_y1_c10",0.0286,0.2167,13.2
0.2,"RVV","swa_hv_y1_b20",0.0228,0.1738,13.1
0.25,"RVV","iaf_hv_y1_c10",0.0228,0.2167,10.5
0.25,"RVV","swa_hv_y1_b20",0.023,0.1738,13.3
0.3,"RVV","iaf_hv_y1_c10",0.0264,0.2167,12.2
0.3,"RVV","swa_hv_y1_b20",0.0206,0.1738,11.9
0.35,"RVV","iaf_hv_y1_c10",0.0278,0.2167,12.8
0.35,"RVV","swa_hv_y1_b20",0.0217,0.1738,12.5
0.4,"RVV","iaf_hv_y1_c10",0.032,0.2167,14.8
0.4,"RVV","swa_hv_y1_b20",0.0281,0.1738,16.2
0.45,"RVV","iaf_hv_y1_c10",0.0389,0.2167,18
0.45,"RVV","swa_hv_y1_b20",0.0316,0.1738,18.2
0.5,"RVV","iaf_hv_y1_c10",0.0433,0.2167,20
0.5,"RVV","swa_hv_y1_b20",0.0332,0.1738,19.1
0.55,"RVV","iaf_hv_y1_c10",0.0439,0.2167,20.2
0.55,"RVV","swa_hv_y1_b20",0.0346,0.1738,19.9
0.6,"RVV","iaf_hv_y1_c10",0.0444,0.2167,20.5
0.6,"RVV","swa_hv_y1_b20",0.0346,0.1738,19.9
0.65,"RVV","iaf_hv_y1_c10",0.0425,0.2167,19.6
0.65,"RVV","swa_hv_y1_b20",0.036,0.1738,20.7
0.7,"RVV","iaf_hv_y1_c10",0.04,0.2167,18.4
0.7,"RVV","swa_hv_y1_b20",0.036,0.1738,20.7
0.75,"RVV","iaf_hv_y1_c10",0.0352,0.2167,16.3
0.75,"RVV","swa_hv_y1_b20",0.0366,0.1738,21.1
0.8,"RVV","iaf_hv_y1_c10",0.0268,0.2167,12.3
0.8,"RVV","swa_hv_y1_b20",0.0389,0.1738,22.4
0.85,"RVV","iaf_hv_y1_c10",0.0183,0.2167,8.4
0.85,"RVV","swa_hv_y1_b20",0.0412,0.1738,23.7
0.9,"RVV","iaf_hv_y1_c10",0.0083,0.2167,3.8
0.9,"RVV","swa_hv_y1_b20",0.0439,0.1738,25.3
