"span","region","naive_mae","linear_mae","delta"
0.2,"RDD",135.65,151.96,-16.32
0.25,"RDD",142.88,151.96,-9.09
0.3,"RDD",141.97,151.96,-9.99
0.35,"RDD",154.94,151.96,2.97
0.4,"RDD",151.49,151.96,-0.47
0.45,"RDD",147.65,151.96,-4.32
0.5,"RDD",154.74,151.96,2.77
0.55,"RDD",158.44,151.96,6.47
0.6,"RDD",162.95,151.96,10.99
0.65,"RDD",164.68,151.96,12.72
0.7,"RDD",161.9,151.96,9.93
0.75,"RDD",166.14,151.96,14.18
0.8,"RDD",164.95,151.96,12.98
0.85,"RDD",163.87,151.96,11.91
0.9,"RDD",162.1,151.96,10.13
0.2,"RVV",263.02,249.45,13.57
0.25,"RVV",279.43,249.45,29.98
0.3,"RVV",280.79,249.45,31.35
0.35,"RVV",274.61,249.45,25.16
0.4,"RVV",275.47,249.45,26.02
0.45,"RVV",268.32,249.45,18.88
0.5,"RVV",280.76,249.45,31.32
0.55,"RVV",289.81,249.45,40.37
0.6,"RVV",297.58,249.45,48.13
0.65,"RVV",303.12,249.45,53.68
0.7,"RVV",308.54,249.45,59.1
0.75,"RVV",312.58,249.45,63.13
0.8,"RVV",315.62,249.45,66.17
0.85,"RVV",313.28,249.45,63.83
0.9,"RVV",297.9,249.45,48.45
