Sup;Conf;Lift;Conv;Chi2;Lapl;Leve;Jacc;Cosi;Phi;MI;WRA;Entp;Gini;Cons;Ant
0.043;0.5584415584415584;2.5734634029564902;1.773264705882353;57.24008740326894;0.5569620253164557;0.026291;0.17131474103585656;0.3326543646596706;0.23924900711030953;0.7057663915454117;0.026291;0.023448834903690374;0.00972572049077669;lettuce;potatoes  &  tomatoes
0.032;0.5245901639344263;2.417466193246204;1.6470000000000002;36.17325866880818;0.5238095238095238;0.018763000000000002;0.13008130081300814;0.27813471229581993;0.19019268826326682;1.0500907273720703;0.018763000000000002;0.014906412688615589;0.0061462345536758;lettuce;apples  &  tomatoes
0.027;0.46551724137931033;2.1452407436834577;1.4649677419354838;22.380441168153084;0.4666666666666667;0.014414;0.10887096774193548;0.24066885980419936;0.14960093973018046;1.1227973259266972;0.014414;0.009431477082360529;0.0038026831393219718;lettuce;onions  &  tomatoes
0.02;0.46511627906976744;2.143392991104919;1.4638695652173912;16.279667893225266;0.4666666666666667;0.010669000000000001;0.08333333333333333;0.2070455501142161;0.12759180182607843;1.8234122556832173;0.010669;0.0068373579996784395;0.0027660946514057594;lettuce;oranges  &  tomatoes
0.039;0.4588235294117647;2.114394144754676;1.4468478260869564;31.97226813702708;0.45977011494252873;0.020555;0.1482889733840304;0.2871608811196824;0.17880790848569053;0.5429094189683065;0.020555;0.013604932707366402;0.005432440051430287;lettuce;carrots  &  tomatoes
0.111;0.4220532319391635;1.9449457693049008;1.3547960526315788;88.30799051216228;0.4226415094339623;0.053929;0.3008130081300813;0.4646385481133093;0.2971666039651197;0.09958611481580265;0.053929000000000005;0.040463100050453005;0.01500449897591194;lettuce;tomatoes
0.025;0.4032258064516129;1.8581834398691839;1.312054054054054;13.491091336870106;0.40625;0.011546000000000002;0.0984251968503937;0.21553325960679384;0.1161511572773604;0.9810853984451405;0.011545999999999999;0.005865135833305057;0.00229228482013899;lettuce;confectionery  &  tomatoes
0.031;0.36470588235294116;1.680672268907563;1.2325000000000002;11.928117770567809;0.367816091954023;0.012555;0.11439114391143912;0.22825608499256805;0.1092159226970491;0.514426018336394;0.012555;0.005321549572757156;0.0020267184185148723;lettuce;peas
0.028;0.34146341463414637;1.5735641227380017;1.1890000000000003;8.143912493237345;0.34523809523809523;0.010206;0.1033210332103321;0.2099042530218577;0.09024362854649265;0.5519093590957215;0.010206000000000003;0.0036836707177402284;0.001383740315638482;lettuce;onions  &  potatoes
0.021;0.3088235294117647;1.4231499051233398;1.1328510638297873;3.620591002458538;0.3142857142857143;0.0062439999999999996;0.07954545454545454;0.17287610594755462;0.06017134702213785;0.8071564598078894;0.006244000000000001;0.0016716941303110966;6.151782378186477E-4;lettuce;carrots  &  potatoes
0.053;0.2804232804232804;1.2922731816741033;1.088139705882353;5.517176229033855;0.28272251308900526;0.011986999999999998;0.1501416430594901;0.26170685628910734;0.0742776967133059;0.015437756605836777;0.011986999999999998;0.002631757152802894;9.374289302512828E-4;lettuce;onions
0.075;0.26501766784452296;1.2212795753203822;1.0653317307692307;5.356090545124119;0.26666666666666666;0.013589000000000004;0.17647058823529413;0.30264825812984397;0.07318531645845441;0.04959344447104727;0.013588999999999999;0.0026035472910473922;9.100587006126704E-4;lettuce;potatoes
0.058;0.26244343891402716;1.2094167691890652;1.0616134969325153;3.4480670161434044;0.2645739910313901;0.010043000000000003;0.15263157894736842;0.2648512273201047;0.05872024366556567;0.0033693598147608375;0.010043000000000003;0.0016689124147986623;5.858645147799324E-4;lettuce;apples
0.045;0.2571428571428571;1.184990125082291;1.0540384615384615;2.0117738746903426;0.2598870056497175;0.0070250000000000035;0.12968299711815562;0.23092110260585344;0.044852802305879895;0.026315571119369906;0.007024999999999996;9.740191686452571E-4;3.4182251082248705E-4;lettuce;carrots
0.03;0.24193548387096775;1.1149100639215104;1.0328936170212766;0.5180022942512843;0.24603174603174602;0.003092000000000001;0.09646302250803858;0.18288603532704545;0.022759663755233396;0.16737433954641598;0.003092000000000001;2.5322057121840436E-4;8.80142878185719E-5;lettuce;plums
0.044;0.23783783783783785;1.0960269024785154;1.027340425531915;0.580093409890661;0.24064171122994651;0.0038549999999999973;0.12290502793296089;0.21960233083702613;0.02408512839680664;0.013932686040232388;0.0038550000000000025;2.851376250613269E-4;9.856425136800517E-5;lettuce;oranges
0.029;0.2230769230769231;1.0280042538107055;1.0078217821782178;0.032476564510880955;0.22727272727272727;7.89999999999999E-4;0.09119496855345911;0.17266187581661;0.005698821326456987;0.1391302627576259;7.900000000000019E-4;1.614654137171989E-5;5.518125552606001E-6;lettuce;peaches
0.217;0.217;1.0;1.0;0.0;0.21756487025948104;0.0;0.217;0.4658325879540846;0.0;-1.0;0.0;0.0;0.0;lettuce;
0.022;0.1732283464566929;0.798287310860336;0.9470571428571429;1.6404155880141902;0.17829457364341086;-0.0055590000000000014;0.06832298136645963;0.13252290684605206;-0.04050204424487968;0.15464558379292787;-0.005559000000000001;8.58697958786292E-4;2.7872465297495985E-4;lettuce;bananas
0.048;0.14285714285714285;0.6583278472679394;0.9135;16.37149492387384;0.14497041420118342;-0.024912000000000004;0.09504950495049505;0.1777631476680729;-0.12795114272203215;0.1534758380796583;-0.024912000000000004;0.008635197399302075;0.0027816970740102143;lettuce;confectionery
0.044;0.3384615384615385;1.5315001740341108;1.1775581395348838;11.975281686661162;0.3409090909090909;0.015269999999999995;0.14332247557003258;0.2595881500714177;0.10943163019283389;0.16520676019067967;0.015270000000000002;0.005492647994243316;0.002061652519893875;apples;peaches
0.032;0.2882882882882883;1.3044718927071868;1.0945443037974683;3.2837527368882817;0.2920353982300885;0.007469;0.10666666666666667;0.20431128350296754;0.057304037701441955;0.2634296291046902;0.007469;0.001552772107012046;5.653275874298869E-4;apples;lettuce  &  tomatoes
0.058;0.2672811059907834;1.2094167691890652;1.0631635220125786;3.4480670161434044;0.2694063926940639;0.010043000000000003;0.15263157894736842;0.2648512273201047;0.05872024366556567;0.0033693598147608375;0.010043000000000002;0.0016689124147986623;5.936157694321764E-4;apples;lettuce
