"Year","Wine_mhl","Fl_Y1_Tm_C","Fl_Y1_Tm_B1","Fl_Y1_Tm_A1","Fl_Y0_Tm_B1","Fl_Y0_Tm_A1","sM_Y1_Tm_C","sM_Y1_Tm_A1","sM_Y0_Tm_B1","H_Y1_Tm_C","H_Y1_Tm_B1","H_Y0_Tm_A1","Fl_Y1_Tmed_less_15_C","Fl_Y1_Tmed_less_15_B1","BB_Y1_Tmmin_less_0_C","FL_Y1_Tmmin_less_0_A1","FL_Y1_Tmmax_above_35_A1","FL_Y1_Tmmax_above_35_A2","sM_Y1_Tmmax_above_35_B1","sM_Y1_Tmmax_above_35_A1","FL_Y1_rs_A1","H_Y1_rs_B1","H_Y1_rs_A1","FL_Y1_rain_above_1mm_C","FL_Y1_rain_above_1mm_A1","sM_Y1_rain_above_1mm_B1","sM_Y1_rain_above_1mm_A1","H_Y1_rain_above_1mm_C","H_Y1_rain_above_1mm_A1","BB_Y1_Iaf_C","FL_Y1_Iaf_B1","FL_Y1_Iaf_B2","FL_Y1_Iaf_B3","FL_Y1_Iaf_A1","H_Y1_Iaf_C","FL_Y1_swa_A1","FL_Y1_swa_A2","H_Y0_swa_A1","H_Y0_swa_A2","FL_Y1_swc_Sm1.5Wp_A1","FL_Y1_swc_Sm1.5Wp_A2","H_Y1_swc_Sm1.5Wp_B1","H_Y1_swc_Sm1.5Wp_A1","FL_Y0_swc_Sm1.5Wp_A1","FL_Y0_swc_Sm1.5Wp_A2","FL_Y1_swc_Sm_0.9Fc_A1","FL_Y1_swc_Sm_0.9Fc_A2","FL_Y0_swc_Sm_0.9Fc_A1","FL_Y0_swc_Sm_0.9Fc_A2"
1934,835.6,20.4233333333333,20.49,19.325,17.965,21.9,22.4428571428571,23.04,20.1775,20.1136363636364,20.94,18.7333333333333,0,0,0,0,0,0,3,4,1.4,7.9,0,1,1,0,0,1,0,0.014682421669947,0.653469232511862,0.519571719461417,0.405428149176328,1.02942626736993,1.50989999999961,361.894749107421,355.052791781428,75.5137912237928,75.4507573366951,10,20,20,20,10,20,10,20,10,20
1935,656.7,16.1433333333333,15.395,17.445,20.49,19.325,24.3119047619048,24.86,23.665,17.6090909090909,20.2875,18.6883333333333,2,6,0,0,0,0,2,7,31.9,0.6,13.8,5,7,3,3,3,3,0.00765217862746508,0.664953036556509,0.475548238578789,0.340105538899661,1.02766263230643,1.50989999999912,399.216016458367,395.815777602047,75.7219624489996,75.7937273384451,10,20,20,20,10,20,10,20,10,20
1936,523.3,17.17,16.235,16.82,15.395,17.445,20.8190476190476,21.2525,22.665,20.0409090909091,21.605,14.32,3,4,0,0,0,0,1,0,16.2,8.4,19.3,4,7,7,7,4,3,0,0.68970965810925,0.590802591282765,0.495134023377975,0.914718640722996,1.50989999999881,392.192139857033,390.95765131403,104.058549154774,103.420486660048,10,20,20,20,10,20,10,20,10,20
1937,870,16.53,15.915,15.43,16.235,16.82,22.3571428571429,23.5475,20.105,22.4727272727273,23.55,16.0716666666667,5,5,0,0,0,0,2,5,28.2,0,10.2,8,7,3,3,0,2,3.17577406372991e-05,0.6079668933667,0.480025384590931,0.393146479202767,0.858441779874303,1.50989999999937,393.036324394451,389.42046059984,102.382329871612,109.44260106795,10,20,20,20,10,20,10,20,10,20
1938,992.6,15.4833333333333,14.65,16.25,15.915,15.43,22.9809523809524,21.905,21.0975,19.4681818181818,22.13,19.725,7,7,0,0,0,0,3,2,10,1.6,3.4,5,1,1,1,3,3,0.00839767366426857,0.617348803365055,0.491055678866545,0.37258375643567,0.840713182402525,1.50989999999924,392.955697411353,388.009672472373,84.9552885446755,87.1863631666872,10,20,20,20,10,20,10,20,10,20
1939,724.5,17.9566666666667,15.5,20.365,14.65,16.25,21.602380952381,21.155,22.8175,19.0909090909091,20.2675,18.93,5,5,0,0,0,0,0,2,2,62.1,52.8,0,7,3,3,10,9,0,0.672972922945059,0.571076016925797,0.468172008064139,0.886521432162571,1.5098999999981,372.175494715649,378.133555932256,76.2417463937433,76.2774092156635,10,20,20,20,10,20,10,20,10,20
1940,520.9,16.6266666666667,15.165,17.425,15.5,20.365,21.6404761904762,21.4175,20.6875,20.8681818181818,23.7025,15.1216666666667,4,9,0,0,0,0,0,2,9.1,11,0,6,7,5,5,2,0,0.000136864856707729,0.632214359655642,0.506331083198525,0.418474685217414,0.940603438153837,1.50989999999906,391.275410747607,390.824760016935,277.637057859193,288.507155852188,10,20,20,20,10,20,10,20,10,20
1941,663.8,15.51,15.945,14.875,15.165,17.425,23.8238095238095,22.915,20.6225,20.75,22.3425,18.355,7,7,0,0,0,0,7,4,15.2,4.2,3,4,8,0,0,2,1,0,0.572152113042628,0.473851638961796,0.384912932614761,0.826760361758831,1.50989999999923,399.807151138786,400.035777891372,78.8727021442711,77.7031691892207,10,20,20,20,10,20,10,20,10,20
1942,718.4,17.6333333333333,17.675,17.26,15.945,14.875,22.3071428571429,21.7475,24.965,21.1681818181818,22.7125,18.7366666666667,3,6,0,0,0,0,0,4,0.6,10.3,12.9,1,2,5,5,4,6,0.00418538863568825,0.639618451447705,0.523741769416094,0.424093925769591,0.829209401794956,1.50989999999972,380.879311316962,373.447791446935,107.658409781379,103.524767236353,10,20,20,20,10,20,10,20,10,20
1943,946.5,17.84,18.065,16.97,17.675,17.26,22.3904761904762,24.5525,21.4025,22.3272727272727,25.74,18.4383333333333,2,1,0,0,0,0,3,9,2.6,3.8,1.7,4,3,1,1,2,1,0,0.682417091562324,0.559083977482799,0.443381088906545,0.961264041656584,1.50989999999979,385.578860208601,380.874117666963,84.8209317300432,89.4490936757599,10,20,20,20,10,20,10,20,10,20
